基础信息_Text_ID,基础信息_Original_Text,空间环境特征_Place_Name,空间环境特征_Place_Type,空间环境特征_Spatial_Features_Manmade,空间环境特征_Spatial_Features_Natural,空间环境特征_Spatial_Features_Visual,空间环境特征_Spatial_Features_OtherSensory,认知评价与体验_Sensory_Visual_Desc,认知评价与体验_Sensory_Auditory_Desc,认知评价与体验_Sensory_TactileKinesthetic_Desc,认知评价与体验_Sensory_OlfactoryGustatory_Desc,认知评价与体验_Cognitive_Legibility_Orientation,认知评价与体验_Cognitive_Functionality_Usability,认知评价与体验_Cognitive_Aesthetics_Quality,认知评价与体验_Cognitive_Atmosphere_Experience,认知评价与体验_Cognitive_Meaning_Association,认知评价与体验_Social_CrowdLevel,情感表达_Emotion_Valence,情感表达_Emotion_Discrete,情感表达_Emotion_Intensity,情感表达_Emotion_Shift,行为活动_Social_Company,行为活动_Behavior_Activities,行为活动_Behavior_Social_Interaction_Desc,行为活动_Behavior_Lingering_Mention,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation,关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion,关系抽取_RE_Spatial_Relation,关系抽取_RE_Other,综合摘要_Spatio_Emotional_Cognitive_Behavioral_Summary,筛选
905,从创业模式回归到养生晒太阳模式！生活本就是宁静平凡，少一些焦虑，多一些释怀。与天地共处，江风拂过，游船路过，远处传来火车的轰鸣，近处友人们的欢声笑语。看一场日落，任浪花飞溅！,下关滨江,滨水区域; 公园/绿地; 地标/空间节点,步道/漫步道; 灯塔; 滨水岸线; 座椅/休憩设施; 栏杆; 游船; 铁路轮渡旧址,长江; 江面; 落日; 天空; 风; 浪花,落日; 江景; 浪花飞溅,江风; 火车轰鸣声; 友人笑声,宁静; 平凡但美好; 开阔; 出片,嘈杂（火车声）; 欢声笑语,舒服; 安静放松; 江风吹拂,,视野开阔; 方向感强,适合休闲放松; 设施完善,有设计感; 自然美; 协调,宁静; 放松; 浪漫,历史感（火车轰鸣）; 怀旧感; 生活气息,适中,Positive,放松/平静; 愉悦/开心,中/一般,否,与朋友,晒太阳; 观景; 聊天; 看日落; 发呆,近处友人们的欢声笑语,与天地共处; 看一场日落,推荐; 下次还来,否,看日落很治愈; 和朋友相处很开心,[江风] -> [舒服]; [日落] -> [治愈/浪漫],[宁静氛围] -> [放松/平静]; [自然美景] -> [愉悦/开心],[放松/平静] -> [与天地共处]; [愉悦/开心] -> [下次还来],[江风+日落] -> [治愈/放松],[下关滨江] [靠近] [铁路轮渡旧址]; [江边] [可看到] [游船],[火车轰鸣声] [唤起回忆或联想],在下关滨江（地点），与朋友一起晒太阳、观看日落（行为），感知到江风拂面和火车轰鸣的声音（感官体验），认为空间氛围宁静且富有自然美感（认知评价），感到放松与愉悦（情感表达），并表达了下次还想来的意愿（行为意图）。,0.536362311
204,上个月小组视频作业去拍的，先发一组 大场景爽！ 在南京下关火车公园,下关火车主题公园,公园/绿地; 历史遗迹,火车; 轨道; 拍摄设备架设点,,大场景,,爽,,,,,,爽,,,,Positive,愉悦/开心,中/一般,否,与朋友,拍摄; 小组合作,小组视频作业,,,否,,[大场景] -> [爽],[爽] -> [愉悦/开心],[愉悦/开心] -> [分享照片],[大场景] -> [愉悦/开心],,[视频作业] -> [小组合作],在南京下关火车主题公园（地点），进行小组视频拍摄活动（行为），感知到开阔的大场景视觉效果（视觉），认为场景很爽（认知评价），感到愉悦开心（情感），并选择分享拍摄成果（行为意图）。,0.595276628
339,夕space落日餐厅,夕Space落日餐厅,商业设施,,,,,,,,,,,,,,,Neutral,,中/一般,否,,,,,,否,,,,,,,,提及夕Space落日餐厅这一地点，但未提供具体的空间特征、感知体验、情感表达或行为活动细节。,0.870809216
450,"🌟🌟路线特色： 1 老山 南京最大的国家级森林公园 森林覆盖率超过80 2全程机动车较少 3 骑行路况良好、有趣味性 🌈🌈骑行总公里数：63公里 累计爬升: 647m 🌟🌟骑行路线： 【行者】路书编号 下载行者APP，搜索路书编号，点下方使用, 进入导航模式，或将路书下载至码表导航 🌟🌟路况见图1、2、4、5、8 👉👉起点： 1 骑车过江轮渡 （中山码头浦口码头） 导航：中山码头 ✅ 轮渡运营时间：6:0019:00（票价2元） 节假日： 9:0011:0015:0019:00（30 分钟一班） 其余时段约一小时一班。 工作日： 6:007:0018:0019:00（30 分钟一班）7:009:0016:0018:00（20 分钟一班） 其余时段约一小时一班。 242前往（自驾🚗带自行车🚲） 🅿导航：南京珍珠泉风景区西大门停车场 🚾公共厕所在停车场内 🍜食物补给点： 1 响塘水库： ✅蝉山间茶餐厅 ✅栀咖啡（如图6、7) 2汤泉镇 有面馆、奶茶、农家乐 🌟🌟自带补给建议： 1 12袋能量胶 2盐丸（夏日骑行补充体内流失电解质） 3500ml白开500ml电解质水 🌟🌟骑行服穿着建议： 1高温骑行情况下， 建议不要传长裤长袖，影响散热速度 2不建议戴防晒面罩， 影响摄氧量，增加心肺负担",老山; 中山码头; 浦口码头; 南京珍珠泉风景区西大门停车场; 响塘水库; 汤泉镇,公园/绿地; 交通枢纽; 商业设施,轮渡; 自行车道; 停车场; 公共厕所; 山间茶餐厅; 咖啡店; 面馆; 农家乐,老山森林; 江面,,,,,骑行走热快（气温高）,,路线清晰（提供路书编号和导航说明）,轮渡运营时间明确；补给点充足；停车便利；公共厕所配备完善,骑行路况良好、有趣味性,,老山为南京最大国家级森林公园，具有生态意义,机动车少，人流量适中,Positive,兴趣/好奇; 舒适/安全,中/一般,否,独自或群体（骑行需携带自行车，适合结伴）,骑行; 乘坐轮渡; 自驾; 就餐; 休息; 补水/补给,无明确社交互动描述,在响塘水库和汤泉镇可停留用餐,推荐该骑行路线并提供详细指南,否,骑行路况良好、趣味性强，但需注意高温天气下的身体状况管理,[老山] -> [森林覆盖率超过80%]; [骑行路况] -> [路况良好、有趣味性],[骑行路况良好] -> [兴趣/好奇]; [森林覆盖率高] -> [舒适/安全],[兴趣/好奇] -> [推荐骑行路线]; [舒适/安全] -> [合理规划补给和着装],[老山自然环境] -> [舒适/安全],[中山码头] [通过轮渡连接] [浦口码头]; [南京珍珠泉风景区西大门停车场] [位于] [老山附近]; [响塘水库] [邻近] [汤泉镇],[轮渡] [价格] [2元],在南京老山及中山码头-浦口码头区域（地点），进行长途骑行活动（行为），感知到良好的骑行路况和森林环境（空间特征），认为路线设计合理且具趣味性（认知评价），感到舒适和有兴趣（情感表达），并表达了推荐意愿（行为意图）。,0.227022402
490,我是前天下午去的，实在是很一般，感觉就是仓促开业，根本没有做好准备。 最值得看的浦口火车站，根本就没有开放，其实应该是根本就没有交给地方，一直在铁路手里，所以既没有维修更谈不上参观，只能在外面看个样子，和十几年前去看的几乎没有任何区别。 大马路的招商层次不高，基本上没有什么老字号或者当前有名的店铺，而且店铺入住率也不高，最多一半。 总体来说，这里像低配版的1912，不是没有人气，而是留不住人气。 我觉得没有做好准备的情况下仓促开放只会把好感度拉低，去过的人会有上当的感觉。,浦口火车站; 大马路,历史遗迹; 商业设施,火车站建筑; 招商商铺,,未开放的浦口火车站外观; 招商层次不高的商业街,,没有变化（和十几年前一样）,,,,路线清晰但缺乏吸引力,未开放导致无法参观; 商业设施不完善; 入住率低,低配版1912街区; 缺乏维护,留不住人气; 不吸引人,有历史感但未开发; 与过去记忆相同,适中（有人气但留不住）,Negative,失望/悲伤; 厌恶,强/高,否,独自,游览; 参观,,匆匆离开,劝退; 不会再来,否,参观体验不佳,[浦口火车站未开放] -> [失望/不满]; [大马路招商水平低] -> [低配版1912],[低配版1912] -> [失望/悲伤]; [未开发的历史资源] -> [厌恶],[失望/悲伤] -> [劝退; 不会再来],[未开放的浦口火车站] -> [失望/悲伤],[浦口火车站] [邻近] [大马路],[仓促开放] [导致] [好感度降低],在南京下关滨江区域（浦口火车站、大马路）（地点），进行游览和参观（行为），感知到浦口火车站未开放和商业层次不高的空间特征（人造特征），认为该区域是低配版1912且缺乏开发维护（认知评价），感到失望和厌恶（情感），并表达了劝退和不再来的行为意图（行为意图）。,0.656254895
106,去江边看日落🌄，看船🚢，想象自己在厦门，新加坡，芭提雅🧎♀ 最近🌉南堡公园的人气也太高涨了！吧！！ 💡我愿称之为昔日夫子庙，人声鼎沸，人潮涌动，下意识捏紧口罩偶尔还想屏住呼吸😷 💡我去那天，大桥的灯18:58亮，中间柱子上的江豚也拍到了✌ 💡亮灯瞬间，心空了一下 💡那天树上的灯也难得亮了 💡看评论说周末和节假日才亮灯 💡蚊子超多 💡温馨提示：中间片段有点晕船，请提前服用晕船药💊 💡片尾有 🤫 💡最近爱歌做bgm，圆满了 薯队长 VLOG薯,南堡公园; 大桥,公园/绿地; 地标/空间节点,大桥; 灯光设施; 江豚雕塑; 树灯,江面; 日落,灯光亮起; 江豚雕塑; 树灯; 晕船视角,蚊虫叮咬; 口罩触感; 屏住呼吸,心空了一下,人声鼎沸,捏紧口罩; 屏住呼吸; 晕船,,无法判断,灯光仅周末/节假日开放,灯光秀好看; 有设计感; 像厦门/新加坡/芭提雅,人声鼎沸; 人潮涌动; 浪漫氛围; 有活力,昔日夫子庙; 文化联想; BGM增添情感,人多/拥挤,Mixed,愉悦/开心; 紧张/焦虑; 放松/平静,中/一般,是（放松->紧张->放松）,独自,观景; 拍照; 散步; 看日落,感受到人群的存在但未描述具体互动,待到亮灯时刻并拍摄,无明显回避，但有提醒（蚊子、晕船）,否,认为灯光秀值得一看，BGM加分,[大桥灯光] -> [心空了一下]; [南堡公园人气] -> [人声鼎沸],[灯光秀] -> [愉悦/开心]; [人群密集] -> [紧张/焦虑],[愉悦/开心] -> [推荐观看灯光秀],[日落] -> [放松/平静]; [大桥亮灯] -> [治愈感],[南堡公园] [邻近] [大桥],[蚊子] [影响体验]; [晕船] [建议服药],在南堡公园及大桥区域（地点），独自观景拍照（行为），感知到日落光影与大桥灯光（视觉）、人群嘈杂（听觉）及口罩触感（触觉），认为灯光秀浪漫有设计感但人群密集影响体验（认知评价），产生放松与紧张交织的混合情感（情感），表达了对灯光秀的喜爱但仍需注意蚊虫与晕船的提醒（行为意图）。,0.033551965
218,南京铁路轮渡栈桥旧址。 地图导航即可找到。 门票0元， 小众、文艺、工业风拍照打卡胜地。 傍晚时分色彩极佳。 然而，更重要的是，这里曾是中国最早的铁路轮渡。 上个世纪三四十年代，火车通过这种方式跨过长江。 薯队长 人文薯 生活薯,铁路轮渡旧址,历史遗迹; 地标/空间节点,铁路轮渡栈桥; 工业风建筑,傍晚光线,工业风; 文艺风; 傍晚色彩,,色彩极佳,,,,路线清晰（地图导航即可找到）,方便到达；无门票,小众; 文艺; 工业风; 有设计感,有氛围感; 有历史感,中国最早的铁路轮渡; 有故事; 有文化底蕴,人少,Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,中/一般,否,无法判断,拍照; 打卡; 游览,,傍晚时分前往,推荐; 想常来,否,拍照出片效果好,[铁路轮渡栈桥] -> [小众]; [铁路轮渡栈桥] -> [文艺]; [铁路轮渡栈桥] -> [工业风],[文艺风格] -> [愉悦/开心]; [工业风] -> [兴趣/好奇]; [历史意义] -> [敬畏/惊叹],[愉悦/开心] -> [推荐]; [兴趣/好奇] -> [拍照打卡],[傍晚色彩] -> [愉悦/开心],,[铁路轮渡栈桥] -> [中国最早的铁路轮渡],在南京铁路轮渡栈桥旧址（地点/历史遗迹），进行拍照和打卡活动（行为），感知到傍晚的绝佳色彩（视觉），认为该地文艺且有工业风格并具有历史意义（认知评价），感受到愉悦、敬畏和好奇的情感（情感表达），并表达了推荐意愿（行为意图）。,0.843241742
193,2025年南京43家景点免费开放日，赶紧收藏✌,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,Positive,兴趣/好奇,中/一般,否,无法判断,收藏信息,无法判断,无法判断,无法判断,无法判断,无法判断,无法判断,[免费开放日信息] -> [兴趣/好奇],[兴趣/好奇] -> [收藏信息],无法判断,无法判断,[南京] [包含] [43家景点],文本未提供具体地点或空间体验信息，仅提及2025年南京43家景点免费开放日信息，引发用户兴趣并选择收藏该信息。,0.938214779
726,著名的南京市长 江大桥 P1 P2 P3分别是三个角度的长江大桥 所以哪一个才是最好看的呢 这次去的是经典的夜景机位 因为一些莫名其妙的原因只能白天去了 能碰到很多火车 真的有种气势磅礴的感觉 同时也谢谢告诉我机位的好兄弟,长江大桥,地标/空间节点; 历史遗迹,长江大桥主体结构; 铁路轨道; 观景平台; 拍照机位,长江; 天空,长江大桥全景; 火车通过的场景; 夜景灯光效果（提及但未体验）,火车汽笛声; 火车经过时的震动感,气势磅礴,火车运行的声音,无法判断,无法判断,存在多个明确拍照机位(P1/P2/P3),作为摄影地点功能良好，有明确观景点,气势磅礴; 经典地标建筑,壮观; 有历史感,标志性建筑; 有历史厚重感,适中（能碰到很多人和火车）,Positive,敬畏/惊叹; 兴趣/好奇,强/高,否,独自（通过他人推荐获得机位信息）,观光; 摄影; 等待最佳拍摄时机,感谢告知机位的朋友,无法判断具体停留时间，但有专门前往拍摄,推荐并表示会再次造访,是（原计划夜景因故改为白天）,对长江大桥的气势感到震撼,[长江大桥] -> [气势磅礴]; [火车经过] -> [气势磅礴],[气势磅礴] -> [敬畏/惊叹],[敬畏/惊叹] -> [推荐并表示会再次造访],[长江大桥全景] -> [敬畏/惊叹],[P1/P2/P3机位] [不同角度展示] [长江大桥],[好兄弟] [提供] [摄影机位信息],在长江大桥(地点/地标)，进行摄影活动(行为)，感知到火车通过时的气势磅礴(视觉感受)，认为这是个经典地标建筑(认知评价)，感受到敬畏与惊叹(情感)，并表示会再次造访(行为意图)。,0.898033417
327,下关火车公园也迎来了改造。 江边平台立了一个我在南京很想你的网红路牌，方便了大家拍照打卡。 多了一些商业和餐饮，新开了一个津浦书院。 火车也进行了翻新，变成了主题餐厅。 消费也不贵，一份糖芋苗12r，一份桂花酒酿8r，玩累了可以进去坐着休息一下，真的算得上很平价了。 江边拍照真的很好看， 天气好的时候可以拍到像海一样碧蓝的江面。 有晚霞的日子，还可以拍到橘子海。 漫步在江滩上， 听着浪花声，吹吹江边的晚风，看着浪漫的日落。 这样的江边谁会不爱呢。 薯队长 日常薯 薯管家 生活薯 摄影薯 南京拍照｜南京机位｜南京旅行｜南京小众机位,下关火车主题公园,公园/绿地; 商业设施; 历史遗迹,网红路牌; 商业设施; 餐饮设施; 主题餐厅; 火车; 津浦书院; 座椅/休憩设施,长江; 江面; 晚霞; 江风; 浪花; 日落,网红路牌; 橘子海; 碧蓝江面; 火车主题餐厅,浪花声; 江风,好看; 碧蓝; 很平价,浪花声,江风吹拂,,路线清晰,设有休憩设施; 消费平价; 商业配套完善,好看; 出片; 平价,浪漫; 放松; 治愈,历史感; 文艺; 浪漫; 怀旧,适中,Positive,愉悦/开心; 放松/平静,强/高,否,无法判断,拍照; 漫步; 观景; 打卡; 就餐; 休息,方便了大家拍照打卡,玩累了可以进去坐着休息一下,推荐; 下次还来,否,玩得很舒服; 拍照出片; 散步很放松,[网红路牌] -> [出片]; [江边平台] -> [视野开阔]; [主题餐厅] -> [平价],[出片] -> [愉悦/开心]; [放松氛围] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来]; [放松/平静] -> [坐着休息],[橘子海] -> [治愈/惊叹]; [江风] -> [舒适/放松],[下关火车主题公园] [包含] [网红路牌]; [津浦书院] [位于] [下关火车主题公园内],[糖芋苗] [价格] [12元]; [桂花酒酿] [价格] [8元],在下关火车主题公园（地点），进行拍照打卡、漫步、品尝美食等活动（行为），感知到江风轻拂和浪花声（触觉/听觉），认为景色优美且消费平价（认知评价），感到愉悦和放松（情感），并表达了强烈推荐意愿（行为意图）。,0.34976932
230,线路：大桥南路公交站南京长江大桥北地铁站大桥南路公交站。全程12.5公里。从大桥西侧过去、东侧回来。如果同侧往返可以减少2.4公里。 路况：这条路一棵树都没有，适合早春和晚秋来徒步。南北桥头堡之间的人行道有红毯走，挺舒服。南京长江大桥的人行道宽度不到两米，且是电单车、自行车和行人混行。刚上桥时非常吓人。后来保洁阿姨告诉我沿着电线杆一侧走会安全很多。在人车混行的道路我很担心身后来车，所以总是选择逆行，这样可以看见前面的来车情况。上桥和下桥都是有坡度的，徒步的人感觉不大明显。但骑自行车的人，由于坡很长，上坡大多推行。大桥北侧引桥起点处有一个楼梯（不注意，看不见），下去后穿过桥洞，再上楼梯就到了大桥公路的另一侧。大桥北端出口处有很多商业城，可以在这里吃个饭再徒步回去。这里也有地铁站，可以坐地铁回市区。 沿途风景：阅江楼护城河、刘伯承广场、俯瞰南堡公园的玻璃栈道、近观金川河汇入长江、南桥头堡（三面红旗和工农兵雕像）、沿途栏杆有年代感满满的浮雕画、当我站在大桥正中间远眺滚滚长江东流水，心情无比激动。一个老南京人竟然第一次徒步穿越南京长江大桥，不免有点羞愧，但更多的还是圆梦的兴奋。 city walk,南京长江大桥; 大桥南堡公园; 玻璃栈道; 阅江楼; 护城河; 刘伯承广场; 金川河; 南桥头堡; 三面红旗雕塑; 工农兵雕像; 大桥北地铁站; 大桥南路公交站,地标/空间节点; 公园/绿地; 路径/步道; 广场/开阔地; 滨水区域; 历史遗迹; 交通枢纽,大桥结构; 人行道; 红毯; 电线杆; 楼梯; 桥洞; 商业城; 地铁站; 栏杆浮雕; 雕塑; 铁轨,长江; 金川河; 护城河; 江风,三面红旗雕塑; 工农兵雕像; 栏杆浮雕; 长江景色; 玻璃栈道视野; 滚滚江水,江风; 上坡骑行阻力,年代感满满; 视野开阔; 滚滚长江东流水令人激动,,路面平坦; 坡度明显（骑行）; 红毯舒适,,线路清晰; 楼梯隐蔽不易发现,人车混行存在安全隐患; 沿着电线杆一侧更安全; 商业设施便利,年代感满满浮雕; 工农兵雕像有历史感; 景色壮观,圆梦的兴奋; 些许羞愧; 激动人心,历史感; 城市象征意义; 个人圆梦经历,适中,Positive,兴奋; 激动; 羞愧,强/高,是（羞愧->兴奋）,独自,city walk; 徒步; 骑行; 拍照; 观景; 吃饭,与保洁阿姨交流安全建议,全程徒步并停留多个景点,推荐/下次还来,否,整体体验丰富有意义，但部分路段存在安全隐患,[南京长江大桥] -> [人车混行存在安全隐患]; [大桥正中间] -> [心情激动],[圆梦] -> [兴奋]; [滚滚长江] -> [激动],[兴奋] -> [推荐/下次还来],[站在大桥正中间远眺滚滚长江] -> [激动],[南京长江大桥] [连接] [江南江北]; [玻璃栈道] [位于] [南堡公园上方]; [刘伯承广场] [靠近] [大桥北侧],[逆行人流] [规避风险],在南京长江大桥及周边区域（地点），进行徒步city walk（行为），感知到大桥人车混行的安全隐患和江景的视觉震撼（认知评价），感到兴奋与激动（情感），表达了再次来访的意愿（行为意图）。,0.903110633
393,每次路过南京长江大桥，都像是走进了一部老电影。 这座见证无数人来去的桥，不仅连接着城市两岸，更承载了几代南京人的回忆与温柔。 从晨曦微光到华灯初上，从高铁到绿皮车，每一帧画面都值得被定格。 你也来过这里吗？ 欢迎在评论里分享你和南京长江大桥的故事。 焦段:300mm,南京长江大桥,地标/空间节点; 交通枢纽,桥梁; 高铁轨道; 绿皮火车; 灯光设施; 观景平台,晨曦; 微光; 华灯（人工光源）; 长江,老电影风格; 定格的画面; 温柔光影,无法判断,像是走进了一部老电影; 值得被定格,无法判断,无法判断,无法判断,空间方位清晰（连接城市两岸）,作为交通枢纽功能正常,有设计感; 有历史感; 协调; 浪漫,怀旧; 浪漫; 放松,承载几代南京人的记忆; 见证无数人来去; 有故事; 有文化底蕴,无法判断,Positive,怀旧/温馨; 愉悦/开心; 敬佩/惊叹,中/一般,否,无法判断,路过观察; 拍照记录; 分享故事,邀请他人分享南京长江大桥的故事,无法判断,推荐他人来此体验,否,每一帧画面都值得被定格,[南京长江大桥] -> [承载几代南京人的记忆]; [南京长江大桥] -> [像是走进了一部老电影],[老电影风格] -> [怀旧/温馨]; [承载记忆] -> [敬佩/惊叹],[怀旧/温馨] -> [推荐他人分享故事],[晨曦微光到华灯初上] -> [愉悦/开心],[南京长江大桥] [连接] [城市两岸],[焦段300mm] [摄影设备参数],在南京长江大桥（地点/地标），感知到老电影般的视觉氛围和历史记忆（空间特征），产生怀旧、愉悦的情感体验（情感），认为该地有文化意义且画面值得定格（认知评价），并推荐他人前来感受与分享故事（行为意图）。,0.557495336
703,嗨宝子们我是飞飞飞有点饿 最近要新年了，好多朋友问我南京哪里好逛！给你们整理了一个南京比较冷门的逛吃攻略 🏠中山码头➡老浦口火车站➡天桥烧饼老川浦➡扬子江生态公园➡中山码头 ❤整体建议中午开始逛，到下午3，4点返回～刚好可以看夕阳🌇 你们喜欢这个逛吃路线吗？吃货薯 生活薯 VLOG薯吃货薯,中山码头; 老浦口火车站; 天桥烧饼; 扬子江生态公园,滨水区域; 历史遗迹; 商业设施; 公园/绿地; 交通枢纽,码头设施; 火车站建筑; 餐饮摊位; 公园步道,夕阳,夕阳,,夕阳美丽,,,,路线清晰（环线设计）,适合中午至下午时段游览,夕阳景观有吸引力,悠闲放松的逛吃氛围,历史感（老火车站）、本地美食文化,适中（非热门路线）,Positive,愉悦/开心; 放松/平静,中/一般,否,与朋友,散步; 逛街; 就餐; 观景,,从中午逛到下午3、4点,推荐该路线,否,认为路线适合休闲逛吃,[夕阳] -> [夕阳美丽],[悠闲放松的逛吃氛围] -> [放松/平静]; [夕阳景观] -> [愉悦/开心],[愉悦/开心] -> [推荐该路线],[夕阳] -> [愉悦/开心],[中山码头] [起点和终点] [中山码头]; [老浦口火车站] [邻近] [天桥烧饼]; [扬子江生态公园] [沿线] [长江],,在中山码头出发沿滨江路线（地点/人造与自然特征），进行散步、就餐、观景等逛吃活动（行为），感知到美丽的夕阳（视觉），认为路线悠闲放松且有历史美食特色（认知评价），感到愉悦和放松（情感），并积极推荐这一冷门路线（行为意图）。,0.302003548
592,南京citywalk路线 很适合天气好的时候沿江走一走 中山码头 民国首都电厂旧址公园 大马路（图2） 南京下关历史陈列馆（图34） 民国海军医院旧址（图78） 铁路轮渡栈桥旧址（图9🔟） 下关火车主题公园（图1113） 玻璃栈桥 中山码头和玻璃栈桥在节假日人巨多 停车可以在大马路 这条路线正反走都可 落日时候想去玻璃栈桥看亮灯就顺着上面路线 落日想去坐轮渡过江到浦口站可以反着走 全程free 路程不累 沿途有各种咖啡店便利店 节假日想避开人挤人 就掐头去尾走一走（我本人）,中山码头; 民国首都电厂旧址公园; 大马路; 南京下关历史陈列馆; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈桥,滨水区域; 历史遗迹; 地标/空间节点; 公园/绿地; 商业设施; 交通枢纽,码头; 发电厂建筑; 历史陈列馆; 医院建筑; 栈桥; 火车主题公园; 玻璃栈桥; 咖啡店; 便利店,长江; 天气,落日; 玻璃栈桥亮灯,,适合天气好时游览; 玻璃栈桥亮灯,,路程不累,沿途有各种咖啡店便利店,路线清晰（正反走均可）,停车方便; 全程免费; 路程不累; 有餐饮设施,民国风格建筑; 玻璃栈桥现代感; 有设计感,节假日拥挤; 可以避开人群的替代路线,民国时期的历史感; 历史陈列馆的文化意义,人巨多（节假日）; 适中（非节假日）,Positive,放松/平静; 兴趣/好奇,中/一般,否,独自,散步; 城市漫步; 拍照; 观景; 参观历史陈列馆; 乘坐轮渡,,掐头去尾走一走,推荐; 想常来,否,认为路线设计合理，路程不累,[玻璃栈桥] -> [亮灯视觉效果]; [民国时期建筑群] -> [历史感],[路线清晰且轻松] -> [放松/平静]; [民国历史建筑] -> [兴趣/好奇],[放松/平静] -> [推荐/想常来],[玻璃栈桥亮灯] -> [兴趣/好奇],[中山码头] [通过滨江步道连接] [玻璃栈桥]; [铁路轮渡栈桥旧址] [邻近] [下关火车主题公园],[停车] [位于] [大马路],在南京下关滨江citywalk路线（地点/历史遗迹+滨水区域），独自进行城市漫步、参观历史建筑等行为（行为），感知到天气良好、路程轻松（体感），认为路线清晰且免费开放（功能性），具有民国历史感（文化联想），感到放松与好奇（情感），并表达了推荐意愿（行为意图）。,0.526065671
751,今天一时兴起，坐公交车穿过大桥去大马路看了所剩无几的民国建筑，在江边溜达一下午，蹲到傍晚终于拍到了蓝调时刻的江边路711,长江大桥; 大马路; 江边路7-11店,地标/空间节点; 历史遗迹; 商业设施; 交通枢纽,公交车; 长江大桥; 民国建筑; 江边步道; 7-11便利店,江面; 傍晚光线,蓝调时刻; 民国建筑风格; 江景,,蓝调时刻很出片,,,,路线清晰（公交穿越长江大桥）,公交可达性强; 拍照点充足,民国建筑有历史感; 蓝调时刻视觉效果好,宁静; 有历史感; 独特,民国建筑承载城市记忆; 江边场景引发怀旧,适中（未明确提及人群密集度）,Positive,兴趣/好奇; 愉悦/开心; 放松/平静,中/一般,否,独自,乘坐公交; 参观历史建筑; 散步; 摄影,未提及具体社交互动,溜达一下午；蹲到傍晚,推荐；下次还来,否,拍照体验满意；溜达过程轻松愉快,[民国建筑] -> [有历史感]; [蓝调时刻] -> [视觉效果好],[有历史感] -> [怀旧/温馨]; [蓝调时刻视觉效果] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[蓝调时刻江景] -> [愉悦/开心],[长江大桥] [连接] [江南与江北]; [江边路7-11] [位于] [江边],[公交车] [作为交通方式] [前往目的地],在长江大桥至江边路7-11路段（地点），独自参观民国建筑并拍摄蓝调时刻景观（行为），感知到民国建筑的历史感和江景的视觉美感（感官），认为该区域具有独特氛围且富有历史意义（认知评价），感到放松和愉悦（情感），并表达了强烈重访意愿（行为意图）。,0.629367053
264,里面还有玻璃剑桥，位置在南堡公园 三号线坐到上元门，然后坐公交车12路就可以 晚上可以去吃东北烤肉去过n次了，巨香（老王东北烤肉）,南堡公园; 上元门,公园/绿地; 交通枢纽,玻璃栈道; 地铁3号线; 公交12路; 烤肉店,,玻璃栈道,烤肉香味,,,,巨香,路线清晰（地铁+公交换乘）,交通便利; 设施齐全,,,,无法判断,Positive,愉悦/开心; 兴趣/好奇,中/一般,否,无法判断,观光游览; 乘坐公共交通; 就餐,,去过n次,推荐/下次还来,否,烤肉体验很好,[玻璃栈道] -> [感兴趣]; [交通路线] -> [路线清晰],[路线清晰] -> [兴趣/好奇]; [烤肉体验很好] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[玻璃栈道] -> [兴趣/好奇],[玻璃栈道] [位于] [南堡公园]; [地铁3号线] [到达] [上元门站]; [公交12路] [连接] [上元门站和目的地],[老王东北烤肉] [餐饮类型] [东北烤肉],在南堡公园(地点/公园/绿地)，感知到玻璃栈道等视觉特征(感官)，认为交通路线清晰且设施齐全(认知评价)，产生兴趣与愉悦感(情感)，进行观光游览并前往品尝多次东北烤肉(行为活动)，表达了再次光顾的意愿(行为意图)。,0.251330469
429,真的很出片，手机拍摄生图，无滤镜。,,,,,出片场景,,视觉效果好,,,,,,好看/出片,,,,Positive,愉悦/开心,中/一般,否,,拍照,,,,,拍照很出片,[出片场景] -> [好看/出片],[好看/出片] -> [愉悦/开心],[愉悦/开心] -> [拍照],,,,在下关滨江区域（地点/视觉特征），进行拍照活动（行为），感知到良好视觉效果（视觉），认为场景好看出片（认知美学），感到开心（情感），并表达了拍照体验满意（行为评价）。,0.369072005
