关系抽取_RE_Spatial_Emotion,情感表达_Emotion_Valence,情感表达_Emotion_Discrete,情感表达_Emotion_Intensity,情感表达_Emotion_Shift,空间环境特征_Place_Name
[朱自清《背影》文学联想] -> [怀旧/温馨],Positive,怀旧/温馨; 愉悦/开心; 兴趣/好奇,中/一般,否,静海寺; 大马路; 南京西站; 首都电厂旧址公园; 中山码头; 扬子饭店; 热河路; 天妃宫; 绣球公园; 兴中门; 阅江楼
[阳光下的草坪] -> [放松/平静],Positive,放松/平静; 舒适/安全,强/高,否,南京西站; 下关火车主题公园
,,,,,下关鼓楼沿江风光带
[长江大桥] -> [自豪/归属感]; [三面红旗] -> [敬佩],Positive,自豪/归属感; 怀旧/温馨; 敬佩; 喜悦,强/高,否,下关火车主题公园; 长江大桥; 长江; 下关码头
[夜景灯光] -> [放松/平静],Positive,兴趣/好奇; 放松/平静,中/一般,否,中山码头; 浦口火车站; 铁道口
[日落] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,鼓楼滨江; 绿城金基沁百合
[长江大桥景观] -> [审美兴趣],Positive,兴趣/好奇; 期待/渴望,中/一般,否,
[日落] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心,中/一般,否,长江大桥; 玻璃栈道; 大桥南堡公园
[橘子海日落] -> [治愈/惊叹],Positive,愉悦/开心; 放松/平静,中/一般,否,浦口公园; 浦口码头; 中山码头; 民国首都电厂旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈道
[争气桥称号] -> [敬佩],Positive,自豪/归属感; 敬佩,强/高,否,下关火车主题公园
[推窗见绿] -> [舒适/安全],Positive,愉悦/开心; 舒适/安全; 自豪/归属感,强/高,否,浦口火车站; 浦口码头; 长江大桥
[落日余晖] -> [愉悦/开心]; [晚风轻拂] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,南京下关滨江公园
[晚霞和落日] -> [愉悦/开心]; [风吹拂] -> [放松/平静],Positive,愉悦/开心; 放松/平静,强/高,否,中山码头; 浦口码头
,Positive,愉悦/开心,中/一般,否,南京长江大桥
[橘子海日落] -> [愉悦/开心]; [货轮鸣笛] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇; 舒适/安全,强/高,否,金燕路66号; 大桥公园; 滨江风光带; 上元门站; 幕府南路站
[哈利波特风格] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,强/高,否,扬子江生态公园
[长江大桥] -> [敬畏/惊叹]; [江风拂面] -> [惬意],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,强/高,否,中山码头
[出片的好地方] -> [舒适/安全],Positive,愉悦/开心; 舒适/安全,中/一般,否,
[开阔江景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,南京长江大桥; 下关火车主题公园; 江心洲; 孤独灯塔; 中山码头; 浦口火车站; 幕燕滨江风光带
[吹着小风] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,浦云路大桥
[靠窗位置吹风] -> [放松/平静],Positive,兴趣/好奇; 放松/平静,中/一般,否,浦口火车站街区; 浦口码头; 民国首都电厂旧址公园; 长江大桥
[长江大桥视野] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,强/高,否,下关火车主题公园
[竹影摇曳的六朝博物馆] -> [兴趣/好奇],Positive,自豪/归属感; 敬佩; 兴趣/好奇,强/高,否,浦口区滨江观光带; 长江大桥北堡公园; 浦口火车轮渡旧址; 南京北站; 浦口码头; 浦口民国风情街
[夜景灯光] -> [愉悦/开心]; [雕塑与纪念碑] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,强/高,否,中山码头
[日落景观] -> [兴趣/好奇],Mixed,兴趣/好奇; 失望/悲伤,中/一般,是（兴趣->失望）,中山码头; 浦口码头; 老浦口火车站; 南京长江大桥
[江豚跃出水面] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,强/高,否,中山码头
[橘子海] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,天王府; 总统府; 中山码头; 浦口码头; 南京北站; 南京长江大桥; 六朝博物馆
[日落景观] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,南京长江大桥; 桥头堡; 雕塑与纪念碑; 南京眼; 浦口火车站; 阅江楼
[民国记忆] -> [怀旧/温馨],Positive,怀旧/温馨; 兴趣/好奇; 敬佩/惊叹,中/一般,否,下关滨江
[落日景观] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心,中/一般,否,红云桥; 江豚观赏平台; 长江微笑驿站; 中山码头; 江豚书屋; 江豚观赏地; 南京长江水生生物科普馆; 川野行; 宝船厂; 渡江胜利纪念馆; 下关历史陈列馆; 下关西火车主题公园
[唐宋梦华主题区域] -> [兴趣/好奇]; [民谣音乐会] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,中山码头; 浦口码头; 浦口火车站; 扬子江生态公园
[蓝调时刻] -> [治愈感],Positive,放松/平静; 治愈,强/高,是（疲惫->放松）,下关主题公园
[火车轰鸣+桥身震颤] -> [立体震撼/敬畏],Positive,敬畏/惊叹; 愉悦/开心; 自豪/归属感,强/高,是（未知情绪->震撼和感动）,南京北站; 中山码头
[复古风格] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,中/一般,否,江豚观赏地
[温柔江风] -> [惬意]; [夕阳洒在江面] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 浪漫/温馨,中/一般,否,泰和里商业街; 印巷1923主题街区; 唐宋梦华主题区域; 火车公园
,,,,,江豚书屋; 欢乐舞台
[工业风装修] -> [兴趣/好奇],Neutral,兴趣/好奇,中/一般,否,南堡公园; 长江大桥; 中山码头; 玻璃栈道
[复古感] -> [自豪/归属感],Positive,愉悦/开心; 自豪/归属感,强/高,否,下关火车主题公园
[南京长江大桥] -> [自豪/归属感],Positive,自豪/归属感,强/高,否,民国首都电厂旧址公园; 夕Space落日餐厅
[江豚] -> [愉悦/开心]; [冬日暖阳] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,中/一般,否,
[日落] -> [愉悦/开心]; [夜景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 怀旧/温馨,中/一般,否,7-11江边路店
[江水翻涌] -> [魅力]; [夕阳] -> [惬意],Positive,愉悦/开心; 放松/平静,中/一般,否,下关铁路轮渡栈桥旧址
[钓鱼台春日市集] -> [期待/好奇],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,南京长江大桥
[绿皮火车和江景] -> [愉悦/开心],Positive,愉悦/开心; 欣赏; 自豪,强/高,否,江豚观赏地
,Positive,愉悦/开心; 活力/兴趣,中/一般,否,下关火车主题公园; 长江大桥
[江上日落] -> [愉悦/开心]; [吹江风] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,下关滨江; 民国海军医院旧址; 铁路轮渡旧址; 江豚观赏地
[轮渡汽笛声] -> [敬畏/惊叹]; [夕阳洒在江面] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 放松/平静,强/高,否,钓鱼台; 夫子庙; 老门东; 秦淮河
[180度江景] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 舒适/安全,强/高,否,下关火车主题公园
无法判断,Positive,怀旧/温馨; 愉悦/开心,中/一般,无法判断,
[城市全景] -> [惊叹/敬畏],Positive,兴趣/好奇; 惊叹/敬畏,中/一般,否,长江大桥玻璃栈道
[江景] -> [宁静]; [老火车] -> [怀旧],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,下关火车主题公园; 铁路轮渡栈桥旧址; 江边路; 大马路; 下关历史陈列馆; 中山码头; 江豚观赏地; 民国首都电厂旧址公园; 浦口火车站
[晚景+绿皮火车+芦苇] -> [愉悦/放松],Positive,愉悦/开心; 放松/平静,中/一般,否,世贸滨江
[落日景观] -> [愉悦/开心],Positive,愉悦/开心; 浪漫/温馨,中/一般,否,无法判断
[夕阳时分光影] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,中/一般,否,赛虹桥立交; 长江大桥; 阅江楼; 河西CBD; 大桥北; 卡子门; 双桥门立交; 锦绣书城（朝天宫店）; 紫峰大厦; 荔枝广场; 玄武湖; 鼓楼区; 新街口; 珠江路; 华采天地; 集庆门大街; 朝天宫; 紫金山索道上站; 油坊桥; 青春广场; 颐和路
[复古建筑] -> [怀旧/温馨],Positive,怀旧/温馨; 愉悦/开心; 放松/平静,中/一般,否,下关火车主题公园
[长江大桥远景] -> [兴趣/好奇],Positive,愉悦/开心; 怀旧/温馨; 兴趣/好奇,强/高,否,下关火车主题公园
[橘子海日落] -> [愉悦/开心]; [蓝调时刻] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇; 自豪/归属感,强/高,否,夕Space落日餐厅
[影视取景地] -> [敬佩/惊叹],Positive,愉悦/开心; 敬佩/惊叹; 怀旧/温馨,中/一般,否,浦口火车站
[橘子元素] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨; 兴趣/好奇,强/高,否,浦口码头; 浦口火车站; 南京西站; 中山码头
[江风凛冽] -> [挫败/烦恼],Mixed,挫败/烦恼; 坚持/无奈,中/一般,是（挫败->坚持）,中山码头; 浦口码头; 南京北站; 浦口火车站; 阳沟街大马路; 长江大桥
[历史遗址与现代城市风貌结合] -> [奇妙],Positive,兴趣/好奇; 惊叹/敬畏,中/一般,否,中山码头
[历史性建筑风貌] -> [怀旧],Positive,敬佩; 怀旧,中/一般,否,浦口火车站
[蝉鸣声] -> [放松/平静],Positive,放松/平静; 兴趣/好奇; 愉悦/开心,中/一般,否,下关火车主题公园; 铁路轮渡栈桥旧址; 民国首都电厂旧址; 中山码头; 浦口码头; 浦口火车站
[夕阳景色] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心; 兴趣/好奇,中/一般,否,中山码头
[津浦铁路] -> [怀旧/温馨],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,下关
[晚风] -> [舒适/放松],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 怀旧/温馨,中/一般,否,民国首都电厂旧址公园
[落日余晖] -> [浪漫氛围],Positive,愉悦/开心; 怀旧/温馨; 兴趣/好奇,中/一般,否,鼓楼; 颐和路; 江苏路基督教堂
[樱花天梯] -> [愉悦/开心]; [达摩塑像] -> [喜欢],Positive,愉悦/开心; 兴趣/好奇; 放松/平静,强/高,否,静海寺纪念馆; 天妃宫; 阅江楼; 长江大桥; 下关火车主题公园; 大桥南堡公园; 玻璃栈道; 大观天地商场
[天气] -> [愉悦/开心],Positive,愉悦/开心,中/一般,否,津浦铁路
[斑驳光影与车窗倒影] -> [愉悦/开心],Positive,愉悦/开心; 怀旧/温馨; 敬畏/惊叹,强/高,否,南京下关火车主题公园
[夕阳照在大桥立面] -> [壮观]; [江面变蓝] -> [愉悦],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨,强/高,否,下关火车主题公园
[纪念碑] -> [敬畏/惊叹],Negative,悲伤/失望; 敬畏/惊叹,强/高,否,幕燕滨江; 观音门; 燕子矶公园; 幕燕滨江风貌区; 长江观音景区; 达摩古洞; 五马渡码头; 南京长江大桥玻璃栈道; 中山码头; 阅江楼
[船开过来] -> [激动开心],Positive,愉悦/开心; 放松/平静,中/一般,否,
[民国建筑] -> [怀旧/温馨],Mixed,怀旧/温馨; 遗憾,中/一般,否,下关火车主题公园; 中山码头
[长江大桥] -> [自豪/归属感],Positive,愉悦/开心; 自豪/归属感,中/一般,否,南京长江大桥; 映红桥
[落日] -> [向往安静欣赏],Mixed,遗憾; 反思,中/一般,是（反思）,方家营; 水关桥; 煤炭港; 宝塔桥
,Negative,挫败/烦恼; 有点无奈,中/一般,否,中山码头; 浦口火车站; 浦口公园
[夕阳] -> [舒服]; [浪花拍打石岸] -> [放松],Mixed,放松/平静; 怀旧/温馨; 悲伤/失望,中/一般,是（放松->轻叹又糜烂）,大马路; 中山码头; 民国海军医院旧址
[民国小楼] -> [神秘感]; [美式调性] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,长江大桥
[江景] -> [兴趣/好奇],Positive,兴趣/好奇; 舒适/安全,中/一般,否,
[日落] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,中山码头; 民国首都电厂旧址公园
[日落] -> [兴趣/好奇],Positive,兴趣/好奇; 舒适/安全,中/一般,否,南京铁路轮渡栈桥旧址; 下关火车主题园
,,,,,民国海军医院旧址
[亮灯后的夜景] -> [超级美],Positive,愉悦/开心; 放松/平静,强/高,否,中山码头; 浦口码头; 五马渡码头
,Positive,怀旧/温馨,中/一般,否,下关火车公园
[沿途美景] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,玻璃栈道; 长江大桥
[清澈的长江水] -> [Positive],Positive,怀旧/温馨; 敬佩/敬仰,中/一般,否,
[落日] -> [治愈/敬畏]; [江景] -> [舒适],Positive,愉悦/开心; 放松/平静,中/一般,否,网红玻璃栈桥; 亲水圆环景观桥
[滨江风光带位置] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,
[长江波澜壮阔] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,长江大桥; 玻璃栈道; 下关火车主题公园; 中山码头; 浦口火车站
,Neutral,,弱/低,否,浦口火车站; 中山码头; 中山陵
[日落] -> [治愈/惊叹],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 自豪/归属感,强/高,否,中山码头; 下关火车主题公园
[江面日落] -> [幸福感],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,滨江风光带; 七哥渔小馆; 世茂外滩新城
[民国风情建筑] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬爱/温情,强/高,否,中山码头; 阅江楼; 南京长江大桥玻璃栈道; 映红桥
[绿皮火车] -> [敬畏/惊叹]; [民国风格] -> [兴趣/好奇],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇; 自豪/归属感,强/高,否,长江大桥北站
[阵阵凉风] -> [惬意]; [货船划过江面] -> [岁月静好],Positive,愉悦/开心; 放松/平静,强/高,否,中山码头; 浦口码头
[日落] -> [愉悦/开心]; [日落] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,中山码头; 浦口码头; 民国首都电厂旧址公园
[南堡公园] -> [别扭感],Mixed,熟悉; 不适,中/一般,否,浦口火车站
[落日余晖] -> [温暖舒适]; [轮渡汽笛声] -> [怀旧/温馨],Positive,怀旧/温馨; 愉悦/开心,强/高,否,南京西站; 南京北站; 浦口火车站; 浦口码头; 中山码头; 大马路
无法判断,Positive,自豪/归属感; 敬佩,强/高,否,桥北滨江生态公园
[银杏秋色] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,南堡公园
,,,,,大桥南堡公园
[拍照体验] -> [烦恼],Mixed,兴趣/好奇; 烦恼,中/一般,是（期待->烦恼）,下关; 轮渡; 幕府山; 挹江门
,,,,,无法判断
[轮渡日落] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,强/高,否,101明潮里; 阅江楼景区; 建宁路196号; 建宁路202号; 镜像咖啡; 101zoo动物园; 梧桐树下; 渝井巷老火锅; 传湌家淮扬菜; 101篮球俱乐部; 地藏古寺; 明城墙绿道
[电厂建筑] -> [怀旧/温馨],Positive,怀旧/温馨; 自豪/归属感,中/一般,否,
[江风] -> [舒适/放松],Positive,放松/平静; 怀旧/温馨,中/一般,否,中山码头
[日落下的长江大桥] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,中/一般,否,
[樱花特饮] -> [愉悦/开心]; [落日余晖] -> [浪漫],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,中山码头; 中山码头轮渡
[汽笛声撞碎在潮湿空气中] -> [略带忧郁]; [白鹭掠过桅杆] -> [顿悟感],Positive,放松/平静; 敬畏/惊叹; 怀旧/温馨,强/高,否,民国首都电厂旧址公园
[橘子海] -> [愉悦/开心]; [火车鸣笛] -> [敬畏/惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹,强/高,否,下关火车主题公园
[江边微风] -> [惬意放松]; [江豚跃出水面] -> [惊喜/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,长江大桥南堡公园
[下关滨江] -> [兴趣/好奇],Mixed,兴趣/好奇; 挫败/烦恼,中/一般,是（欣赏->遗憾）,NEW ARC 落日餐厅Brunch&Bistro; 玄武湖金陵style店
,Neutral,无聊/平淡,弱/低,否,下关火车主题公园
[江豚] -> [兴趣/好奇],Positive,兴趣/好奇; 愉悦/开心; 放松/平静,中/一般,否,南堡公园; 南京长江大桥; 阅江楼
[夕阳下的历史建筑群] -> [敬畏/惊叹],Positive,敬畏/惊叹; 怀旧/温馨,中/一般,否,南京宪法公园; 中山码头; 江豚最佳观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题园; 玻璃栈道; 南京长江大桥
[落日橘子海] -> [浪漫/治愈],Positive,愉悦/开心; 放松/平静,强/高,否,下关滨江
[日落] -> [愉悦/开心],Positive,愉悦/开心,中/一般,否,
[夕阳下的大桥] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,中山码头; 牛首山; 红山动物园; 南京站
[翻林子探索] -> [成就感/挑战感],Mixed,愉悦/开心; 遗憾,中/一般,是（辛苦->满意；天气不好->遗憾）,下关滨江; 大马路; 中山码头; 阅江楼; 扬子饭店
,Positive,放松/平静; 愉悦/开心,中/一般,否,下关西火车主题街区
[江边日落+微风+夏天] -> [愉悦/开心]; [长江大桥] -> [怀旧/温馨],Positive,敬畏/惊叹; 愉悦/开心; 放松/平静; 怀旧/温馨,强/高,否,
[灯火阑珊] -> [放松/平静],Positive,愉悦/开心; 放松/平静,中/一般,否,西桥; 中山码头; 民国首都电厂旧址公园; 下关火车公园; 长江大桥玻璃栈道; 映虹桥
[灯光] -> [很美->愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,
,,,,,中山码头; 浦口码头; 下关火车主题公园; 长江大桥
[电影感画面] -> [自豪/归属感],Mixed,自豪/归属感; 挫败/烦恼,中/一般,是（自豪->挫败）,长江大桥; 大桥南堡公园; 玻璃栈道; 下关火车主题公园
[朱自清《背影》场景] -> [怀旧/温馨],Positive,怀旧/温馨; 愉悦/开心,中/一般,否,7-11江边路店
[江豚] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 自豪/归属感,强/高,否,大桥南堡公园; 玻璃栈道
[落日余晖] -> [愉悦/开心]; [灯光夜景] -> [浪漫],Positive,敬畏/惊叹; 愉悦/开心; 放松/平静,强/高,否,
[阴天的光影] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心,中/一般,否,下关火车主题公园
[火车] -> [好奇/兴趣]; [落日] -> [治愈/欣慰],Positive,愉悦/开心; 放松/平静; 兴趣/好奇; 敬畏/惊叹,强/高,否,中山码头; 南京西站
[滨江江景] -> [宜居感]; [洋房社区] -> [改善型生活期待],Positive,兴趣/好奇; 安心/信赖,中/一般,否,长江微笑驿站; 中山码头; 浦口火车站
[江豚] -> [愉悦/开心]; [轮渡] -> [自豪/归属感],Positive,愉悦/开心; 自豪/归属感,中/一般,否,南京长江大桥; 中山码头; 下关火车主题园; 亲水圆环景观桥; 玻璃栈道
[晚霞] -> [愉悦/开心]; [列车经过场景] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,
[梧桐落叶] -> [愉悦/开心],Positive,怀旧/温馨; 愉悦/开心,强/高,否,中山码头; 民国首都电厂旧址公园; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车公园; 玻璃栈桥; 映红桥; 南京西站
[双层大桥] -> [敬畏/惊叹],Positive,敬畏/惊叹; 自豪/归属感,中/一般,否,鼓楼滨江; 阅江楼; 方家营站; 白云亭站; 大观天地Mall; 深业漫埠; 华贸中心; 拉萨路小学方兴校区; 力人学校; 绿城金基沁百合
[蓝天白云] -> [愉悦/开心]; [夕阳] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,下关火车主题公园; 江豚观赏地; 中山码头; 浦口码头; 长江大桥
[橘子海日落] -> [愉悦/开心]; [历史场景] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹; 怀旧/温馨; 兴趣/好奇,强/高,否,南京长江大桥; 大桥南堡公园; 幕府山; 五马渡广场; 上元门; 五塘广场
[落日] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静,中/一般,否,浦口火车站; 中山码头
[江景] -> [放松/平静]; [夜景] -> [浪漫],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,中/一般,否,长江大桥; 玻璃栈道; 大桥南堡公园
[夕阳] -> [兴趣/好奇]; [雪景+江面] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 浪漫/温馨; 兴趣/好奇,强/高,否,下关火车主题公园; 铁路轮渡旧址; 长江大桥
[火车站历史风貌] -> [兴趣/好奇]; [柴火泡泡馄饨] -> [怀旧/温馨],Positive,愉悦/开心; 放松/平静; 怀旧/温馨; 兴趣/好奇,强/高,否,浦口火车站; 中山码头; 浦口码头; 大马路
[夏日落日] -> [愉悦/开心]; [江豚] -> [可爱感/治愈感],Positive,愉悦/开心; 放松/平静,中/一般,是（焦虑/紧张->放松/平静）,
[落日江景] -> [浪漫]; [玻璃栈桥] -> [惊叹],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,中山码头; 浦口码头; 扬子江生态公园; 下关火车主题公园; 民国首都电厂旧址; 江豚书屋; 中山码头丛葬纪念碑; 南京港揽江台; 民国海军医院旧址; 铁路轮渡栈桥旧址; 大马路; 绿皮火车原型; 老火车站
[古今同框] -> [震撼]; [长江大桥灯光] -> [愉悦/开心],Positive,敬畏/惊叹; 愉悦/开心,强/高,否,夕Space落日餐厅
[日落] -> [敬畏/惊叹]; [江风] -> [放松/平静],Positive,怀旧/温馨; 放松/平静; 敬畏/惊叹; 愉悦/开心,强/高,否,南京西站; 中山码头; 龙虎巷
,Neutral,,中/一般,否,长江微笑驿站
,,,,,中山码头; 民国首都电厂旧址公园; 大马路; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 长江玻璃栈桥
[朱自清记忆场景] -> [怀旧/温馨],Positive,愉悦/开心; 怀旧/温馨,中/一般,否,南京长江大桥; 紫峰大厦
[微风中伴着湿润的水汽] -> [舒适/安全],Positive,放松/平静; 愉悦/开心; 舒适/安全,中/一般,否,下关; 中山码头; 浦口火车站
[落日] -> [赏心悦目],Mixed,怀旧; 愉悦/开心,中/一般,是（怀旧->愉悦）,
[江边吹风] -> [惬意],Positive,放松/平静; 愉悦/开心,中/一般,否,
[江景] -> [放松/平静]; [孩子扔石头] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 兴趣/好奇,强/高,否,中山码头; 浦口火车站; 南京西站
[江风] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,中山码头; 浦口码头; 玻璃栈道; 长江大桥; 下关火车主题公园; 南京北站; 浦口公园; 金象城购物中心
[下关火车主题公园的场景] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,强/高,否,下关外滩; 大马路; 渡江纪念碑; 渡江纪念馆; 欢乐舞台
[江景] -> [舒适/安全],Positive,兴趣/好奇; 舒适/安全,中/一般,否,下关火车主题公园
[日落景色] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇; 怀旧/温馨,中/一般,否,下关火车主题公园
,Neutral,,中/一般,否,大马路; 中山码头; 浦口码头; 浦口火车站
[火车穿梭的高架桥] -> [兴趣/好奇]; [日落景色] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 兴趣/好奇,强/高,否,下关火车主题公园
[灯塔+落日] -> [浪漫]; [江边轮渡+夕阳余晖] -> [愉悦],Positive,愉悦/开心; 放松/平静; 浪漫,强/高,否,中山码头; 浦口码头
[形胜之地] -> [自豪/归属感],Positive,自豪/归属感; 兴趣/好奇,中/一般,否,下关火车主题园; 大马路; 中山码头; 浦口码头; 浦口火车站; 南京北站
[橘子海落日] -> [愉悦/开心]; [江风轻拂] -> [放松/平静],Positive,愉悦/开心; 放松/平静; 怀旧/温馨; 敬畏/惊叹,强/高,否,南京长江大桥; 大桥南堡公园; 玻璃栈道
[开阔江景] -> [敬畏/惊叹],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,长江大桥玻璃栈道; 中山码头; 浦口码头; 下关火车主题公园; 大桥公园
[三层书墙] -> [敬畏/惊叹]; [面筋小吃] -> [愉悦/开心],Positive,愉悦/开心; 放松/平静; 敬畏/惊叹; 兴趣/好奇,强/高,否,下关主题公园; 长江大桥; 南京眼步行桥; 江心州灯塔; 鱼嘴湿地公园
[微风轻拂] -> [舒适]; [咖啡香] -> [愉悦/开心],Positive,放松/平静; 愉悦/开心,中/一般,否,下关滨江商务区; 长江大桥; 狮子山; 明城墙; 仪凤门段; 外秦淮河; 城北护城河; 三汊河口
[民国建筑风貌] -> [欣赏/兴趣],Negative,挫败/烦恼; 失望,中/一般,是（失望->期待）,阅江楼; 中山码头; 江豚观赏地; 铁路轮渡旧址; 下关火车主题公园; 映虹桥玻璃栈道; 长江大桥
[车站与长江融合景观] -> [愉悦/开心],Positive,兴趣/好奇; 愉悦/开心,中/一般,否,下关滨江
[装修简约大方] -> [舒适/安全],Positive,愉悦/开心; 兴趣/好奇; 舒适/安全,强/高,否,江北图书馆; 浦口码头; 浦口火车站; 南京北站; 中山码头; 民国海军医院旧址; 民国首都电厂旧址; 铁路轮渡栈桥旧址; 江豚观赏地
[阳光] -> [舒适]; [江豚出没] -> [兴趣/好奇],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,下关滨江
[夕阳落日] -> [愉悦/开心]; [江风] -> [放松/平静],Positive,放松/平静; 愉悦/开心; 兴趣/好奇,中/一般,否,首都电厂旧址公园; 民国海军医院旧址; 铁路轮渡旧址; 下关历史陈列馆; 浦口火车站
,,,,,南京下关火车主题公园; 铁路轮渡栈桥旧址; 长江大桥; 南京西站; 浦口火车站
[夜景灯光] -> [震撼]; [城市灯火] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹; 舒适/安全,强/高,否,中山码头; 七哥渔小馆
[武警持枪24小时执勤] -> [敬畏/惊叹],Positive,敬畏/惊叹; 自豪/归属感,强/高,否,中山码头; 民国首都电厂旧址公园; 江豚微笑驿站; 浦口码头
[橘子海] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,中/一般,无法判断,中山码头; 浦口码头; 南京北站
,Positive,愉悦/开心,中/一般,否,
[江豚] -> [愉悦/开心],Positive,愉悦/开心; 敬畏/惊叹,强/高,否,南京长江大桥; 长江大桥玻璃栈道
[江风] -> [舒适/放松]; [日落] -> [期待/向往],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,长江大桥
[看到江豚] -> [惊喜]; [民国风火车头] -> [怀旧感],Positive,愉悦/开心; 放松/平静,中/一般,否,无法判断
[玻璃栈道] -> [兴趣/好奇],Mixed,兴趣/好奇; 挫败/烦恼,中/一般,是（兴趣->挫败）,
[开阔江景] -> [愉悦/开心],Positive,愉悦/开心; 兴趣/好奇,中/一般,否,下关滨江
[民国风格火车站] -> [敬佩/惊叹],Positive,怀旧/温馨; 敬佩/惊叹,强/高,否,中山码头
