关系抽取_RE_Cognitive_Emotion
[配套比较全] -> [舒适/安全]; [小区较老] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]; [电影感视觉] -> [敬畏/惊叹]
[创意结合] -> [愉悦/开心]; [独特氛围] -> [兴趣/好奇]
[历史感浓厚] -> [怀旧/温馨]; [宏伟壮观] -> [敬畏/惊叹]; [惬意行走] -> [愉悦/开心]
[小朋友喜欢] -> [愉悦/开心]; [视觉吸引力] -> [舒适/安全]
[生态城市风貌] -> [放松/平静]; [长江美景] -> [愉悦/开心]
[适应大自然] -> [愉悦/开心]
[吹吹风很舒服] -> [放松/平静]; [拍照打卡有那味儿了] -> [兴趣/好奇]
[太绝了] -> [愉悦/开心]
[尊严与庄重] -> [自豪/归属感]; [壮志昂扬] -> [敬佩]
[灯光璀璨] -> [愉悦/开心]; [历史厚重] -> [敬畏/惊叹]
[缺乏维护] -> [失望/悲伤]; [拍照好看] -> [兴趣/好奇]
[成功偶遇江豚] -> [自豪/归属感]; [盖章系统] -> [兴趣/好奇]
[治愈氛围] -> [放松/平静]; [浪漫氛围] -> [愉悦/开心]
[出片] -> [兴趣/好奇]; [看海即视感] -> [愉悦/开心]
[完整保留的英式建筑] -> [敬佩/惊叹]; [民国记忆] -> [怀旧/温馨]
[宁静氛围] -> [放松/平静]; [夕阳美景] -> [愉悦/开心]
[完美交融] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[宁静氛围] -> [放松/平静]; [治愈感] -> [治愈]
[震撼景观] -> [敬畏/惊叹]; [出片效果] -> [愉悦/开心]
[适合拍摄] -> [自豪/归属感]; [出片] -> [愉悦/开心]
[浪漫氛围] -> [浪漫/温馨]; [惬意环境] -> [放松/平静]
[出片] -> [兴趣/好奇]
[复古感强] -> [自豪/归属感]; [hin出片] -> [愉悦/开心]
[有历史感/有文化底蕴] -> [自豪/归属感]
[江豚很可爱] -> [愉悦/开心]; [探秘感] -> [兴趣/好奇]; [冬日暖阳] -> [放松/平静]
[别有浪漫氛围] -> [愉悦/开心]; [年代感] -> [怀旧/温馨]
[惬意] -> [放松/平静]; [幸运] -> [愉悦/开心]
[环境漂亮] -> [愉悦/开心]; [晒太阳舒服] -> [放松/平静]
[太出片] -> [愉悦/开心]; [绝佳地点] -> [欣赏]
[健康生活方式倡导] -> [愉悦/开心]; [好运来模式] -> [活力/兴趣]
[避开人群] -> [放松/平静]; [深度打卡] -> [愉悦/开心]
[有历史厚重感] -> [放松/平静]; [非常震撼] -> [敬畏/惊叹]
[浪漫氛围] -> [愉悦/开心]; [美食体验] -> [舒适/安全]
[有回忆] -> [怀旧/温馨]
[视觉冲击力强] -> [惊叹/敬畏]; [优质摄影机位] -> [兴趣/好奇]
[有历史感] -> [怀旧/温馨]; [视觉对比强烈] -> [愉悦/开心]
[精致] -> [愉悦/开心]; [浪漫] -> [放松/平静]
[浪漫氛围] -> [浪漫/温馨]
[复古风格] -> [怀旧/温馨]; [夕阳光影] -> [愉悦/开心]
[怀旧氛围] -> [温馨/放松]; [慢节奏] -> [平静/愉悦]
[承载文学记忆] -> [怀旧/温馨]; [时光穿越感] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [特别美丽的蓝调时刻] -> [敬畏/惊叹]
[有年代感] -> [怀旧/温馨]; [出片] -> [愉悦/开心]
[穿越时空感] -> [怀旧/温馨]; [街区业态丰富] -> [兴趣/好奇]
[清爽环境] -> [坚持/无奈]; [寒冷天气] -> [挫败/烦恼]
[奇妙的新旧融合] -> [兴趣/好奇]; [有历史感] -> [惊叹/敬畏]
[有历史感] -> [怀旧]; [有象征意义] -> [敬佩]
[生活化氛围] -> [放松/平静]; [猫猫形象] -> [愉悦/开心]
[宁静氛围] -> [放松/平静]; [城市景观视野好] -> [愉悦/开心]
[怀旧氛围] -> [怀旧/温馨]; [完成心愿] -> [愉悦/开心]
[充满历史气息] -> [兴趣/好奇]; [有历史感] -> [怀旧/温馨]
[怀旧氛围] -> [怀旧/温馨]; [出片效果好] -> [愉悦/开心]
[美丽景观] -> [愉悦/开心]; [历史感] -> [兴趣/好奇]
[舒适天气] -> [愉悦/开心]
[有故事感] -> [敬畏/惊叹]; [怀旧氛围] -> [怀旧/温馨]
[工业建筑之美] -> [敬畏/惊叹]; [橘子海] -> [愉悦/开心]
[历史沉重感] -> [悲伤/失望]; [抗战精神象征] -> [敬畏/惊叹]
[特别好看] -> [愉悦/开心]; [江景优美] -> [放松/平静]
[历史感] -> [怀旧/温馨]; [候船厅关闭] -> [遗憾]
[地标意义] -> [自豪/归属感]
[未真正欣赏] -> [遗憾]
[拥挤场景] -> [挫败/烦恼]
[宁静氛围] -> [放松/平静]; [有点颓废氛围] -> [悲伤/失望]
[一切都刚刚好] -> [愉悦/开心]; [文艺氛围] -> [放松/平静]
[实用性] -> [舒适/安全]; [错峰体验] -> [兴趣/好奇]
[有氛围感] -> [愉悦/开心]; [日落景观] -> [敬畏/惊叹]
[适合拍日落] -> [兴趣/好奇]; [步行可达性] -> [舒适/安全]
[亲子友好] -> [愉悦/开心]; [休闲氛围] -> [放松/平静]
[有回忆] -> [怀旧/温馨]
[浪漫氛围] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [承载重要历史事件] -> [敬佩/敬仰]
[浪漫] -> [愉悦/开心]; [好看] -> [愉悦/开心]
[雅致大气的环境] -> [愉悦/开心]; [热热闹闹的氛围] -> [愉悦/开心]
[波澜壮阔] -> [敬畏/惊叹]; [很有氛围感] -> [愉悦/开心]
[开阔江景] -> [愉悦/开心]; [文学联想] -> [自豪/归属感]
[出片体验] -> [愉悦/开心]; [日落景象] -> [敬畏/惊叹]
[文艺氛围] -> [愉悦/开心]; [父爱故事] -> [敬爱/温情]
[独特韵味] -> [愉悦/开心]; [民国风情] -> [兴趣/好奇]; [保存完好] -> [自豪/归属感]
[宁静浪漫氛围] -> [放松/平静]; [惬意感受] -> [愉悦/开心]
[绝美日落] -> [愉悦/开心]; [绝美日落] -> [敬畏/惊叹]
[地方认同感] -> [熟悉]; [正式名称与习惯称呼差异] -> [不适]
[怀旧感] -> [怀旧/温馨]; [视觉美感] -> [愉悦/开心]
[文化象征意义] -> [自豪/归属感]
[中式美学氛围] -> [愉悦/开心]; [银杏秋色] -> [放松/平静]
[特别特别纠结首图] -> [烦恼]
[浪漫氛围] -> [愉悦/开心]; [美哭了视觉体验] -> [愉悦/开心]
[有回忆] -> [怀旧/温馨]; [有文化底蕴] -> [自豪/归属感]
[宁静氛围] -> [放松/平静]; [怀旧感] -> [温馨/怀旧]
[适合拍照] -> [愉悦/开心]
[氛围感强] -> [愉悦/开心]; [京都风格] -> [兴趣/好奇]
[诗意氛围] -> [放松/平静]; [视觉美感] -> [敬畏/惊叹]
[橘子海浪漫] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]; [火车鸣笛伴随日落] -> [敬畏/惊叹]
[建筑美学] -> [兴趣/好奇]; [非常惬意] -> [放松/平静]
[底子不错] -> [兴趣/好奇]; [需要改进] -> [挫败/烦恼]
[一般] -> [无聊/平淡]
[春日氛围感] -> [愉悦/开心]; [艾草香] -> [放松/平静]
[深沉与厚重的视觉感受] -> [敬畏/惊叹]; [历史文化资源] -> [怀旧/温馨]
[浪漫氛围] -> [愉悦/开心]; [拍出大片] -> [愉悦/开心]
[美] -> [愉悦/开心]
[历史感] -> [敬畏/惊叹]; [雄伟景观] -> [愉悦/开心]
[照片震撼] -> [愉悦/开心]; [天气不佳] -> [遗憾]
[自然且真实] -> [放松/平静]
[顶配浪漫] -> [愉悦/开心]; [童年记忆] -> [怀旧/温馨]; [王菲歌词] -> [敬畏/惊叹]
[很出片] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[网红打卡地] -> [兴趣/好奇]; [很美] -> [愉悦/开心]
[觉得自己强的可怕] -> [自豪/归属感]; [回家看图濒临崩溃] -> [挫败/烦恼]
[文学记忆] -> [怀旧/温馨]; [小吃摊位] -> [愉悦/开心]
[亲子互动好去处] -> [自豪/归属感]; [水面小鱼蹦跶] -> [兴趣/好奇]
[宏伟] -> [敬畏/惊叹]; [秀美] -> [愉悦/开心]; [有历史感] -> [放松/平静]
[有氛围感] -> [放松/平静]; [有氛围感] -> [愉悦/开心]
[橘色黄昏] -> [浪漫/治愈]; [开阔江景] -> [放松/平静]
[配套齐全] -> [安心/信赖]; [教育资源优质] -> [兴趣/好奇]
[风景很美] -> [愉悦/开心]; [终身难忘的体验] -> [自豪/归属感]
[很出片] -> [愉悦/开心]; [有氛围感] -> [兴趣/好奇]
[怀旧氛围] -> [怀旧/温馨]; [美好回忆] -> [愉悦/开心]
[有历史感] -> [自豪/归属感]; [壮观] -> [敬畏/惊叹]
[童话世界; 特别舒服] -> [愉悦/开心]; [夕阳无限好] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [浪漫氛围] -> [愉悦/开心]
[让人心情变好] -> [放松/平静]
[性价比高] -> [愉悦/开心]; [适合亲子] -> [放松/平静]
[梦幻圣诞夜] -> [愉悦/开心]; [静谧柔和] -> [放松/平静]; [浪漫氛围] -> [浪漫/温馨]
[有故事] -> [兴趣/好奇]; [小时候的味道] -> [怀旧/温馨]
[远离喧嚣] -> [放松/平静]; [拯救打工疲惫] -> [愉悦/开心]
[治愈路线] -> [放松/平静]; [浪漫氛围] -> [愉悦/开心]; [历史感] -> [敬畏/惊叹]
[震撼] -> [敬畏/惊叹]; [太好看] -> [愉悦/开心]
[南京版的外滩] -> [自豪/归属感]; [时光仿佛从未走远] -> [放松/平静]
[文学历史感] -> [怀旧/温馨]
[视野开阔] -> [放松/平静]; [景色出片] -> [愉悦/开心]
[怀旧氛围] -> [怀旧]; [MINI集市] -> [愉悦/开心]
[惬意] -> [放松/平静]; [值得去走走] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [孩子玩得开心] -> [愉悦/开心]
[小众特色] -> [兴趣/好奇]; [复古风格] -> [愉悦/开心]
[适合拍摄日系和民国风格照片] -> [愉悦/开心]
[普通区域景观足够欣赏] -> [舒适/安全]
[复古浪漫] -> [愉悦/开心]; [承载离别与伤感] -> [怀旧/温馨]
[南京代表性地标] -> [中性/普通]
[美疯了] -> [愉悦/开心]; [蓝调时刻也超美] -> [敬畏/惊叹]
[浪漫氛围] -> [愉悦/开心]; [开阔视野] -> [放松/平静]
[特殊定位] -> [自豪/归属感]; [城市更新片区] -> [兴趣/好奇]
[浩瀚大江风光] -> [敬畏/惊叹]; [橘子海] -> [愉悦/开心]; [时光凝固] -> [怀旧/温馨]
[堪比上海外滩] -> [愉悦/开心]; [开阔江景] -> [敬畏/惊叹]
[几何感更强烈] -> [敬畏/惊叹]; [收获一江夕阳] -> [放松/平静]
[宁静氛围] -> [放松/平静]; [美好视觉感受] -> [愉悦/开心]
[排队耗时] -> [挫败/烦恼]; [历史遗迹免费] -> [失望（未充分利用）]
[有设计感] -> [兴趣/好奇]; [历史与回忆交织] -> [愉悦/开心]
[适合聚餐] -> [愉悦/开心]; [食物美味] -> [兴趣/好奇]
[特别美] -> [愉悦/开心]; [兴趣/好奇] -> [观察江豚]
[光影效果好] -> [愉悦/开心]; [散步惬意] -> [放松/平静]
[出片] -> [愉悦/开心]; [震撼] -> [敬畏/惊叹]
[重要战略意义] -> [敬畏/惊叹]; [特殊地位] -> [自豪/归属感]
[浪漫] -> [愉悦/开心]
[真好看] -> [愉悦/开心]
[有生态价值] -> [愉悦/开心]; [惊喜感] -> [敬畏/惊叹]
[出片效果好] -> [愉悦/开心]; [橘子海美景] -> [兴趣/好奇]
[适合野餐放风筝] -> [愉悦/开心]; [有历史感] -> [放松/平静]
[热情却过于一致的大爷搭讪] -> [挫败/烦恼]; [找到玻璃栈道] -> [兴趣/好奇]
[容易出片] -> [愉悦/开心]; [民国风建筑美观] -> [兴趣/好奇]
[有文化底蕴] -> [敬佩/惊叹]; [有回忆] -> [怀旧/温馨]
[承载历史] -> [敬畏/惊叹]; [有文化底蕴] -> [放松/平静]
[历史厚重感] -> [敬畏/惊叹]; [建筑风格独特] -> [兴趣/好奇]
[视觉通透度高] -> [愉悦/开心]; [紫峰反光效果] -> [敬畏/惊叹]
[有文化底蕴] -> [敬佩/惊叹]; [出片体验] -> [愉悦/开心]
[更绝美的视野] -> [愉悦/开心]; [开阔江景] -> [放松/平静]; [落日] -> [敬畏/惊叹]
[历史文化底蕴] -> [怀旧/温馨]; [现状衰败] -> [悲伤/失望]
[承载了很多回忆] -> [怀旧/温馨]
[视野开阔] -> [敬畏/惊叹]; [灯火阑珊] -> [放松/平静]
[最美江边日落] -> [愉悦/开心]; [文艺氛围] -> [放松/平静]
[有历史感] -> [怀旧/温馨]
[有历史感] -> [怀旧/温馨]; [宁静氛围] -> [放松/平静]
[路线清晰] -> [兴趣/好奇]
[复古胶片感] -> [愉悦/开心]; [视野开阔] -> [放松/平静]
[便捷性] -> [期待]; [出片] -> [愉悦/开心]
[替代海的意象] -> [愉悦/开心; 放松/平静]
[氛围感] -> [愉悦/开心]; [美食体验] -> [愉悦/开心]
[复古氛围] -> [兴趣/好奇]; [文艺氛围] -> [愉悦/开心]
[放松氛围] -> [放松/平静]; [出片效果] -> [愉悦/开心]; [童话氛围] -> [兴趣/好奇]
[放松氛围] -> [放松/平静]
[承载城市记忆] -> [中性/平静]
[适合拍照] -> [自豪/归属感]; [杂志风] -> [愉悦/开心]
[落日] -> [放松/平静]; [导航误导] -> [挫败/烦恼]
[绝美] -> [愉悦/开心]; [浪漫场景] -> [敬畏/惊叹]
[好看] -> [愉悦/开心]; [天气不错] -> [开心]
[文学典故关联] -> [怀旧/温馨]
[出片] -> [愉悦/开心]; [松弛] -> [放松/平静]
[陈旧] -> [悲伤/失望]; [充满不确定性] -> [惋惜]
[有历史感] -> [兴趣/好奇]
[出片率高] -> [愉悦/开心]; [性价比高] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [有设计感] -> [兴趣/好奇]
[有文化底蕴] -> [怀旧/温馨]
[电影感强] -> [愉悦/开心]; [出片率高] -> [兴趣/好奇]
[文艺氛围] -> [放松/平静]; [有故事感] -> [兴趣/好奇]
[夕阳很美] -> [愉悦/开心]; [水域危险] -> [担忧]
[历史感动] -> [自豪]; [千篇一律] -> [失望]
[日系风格] -> [兴趣/好奇]; [荒凉场景] -> [失望/悲伤]
[有年代感] -> [怀旧/温馨]; [浪漫氛围] -> [愉悦/开心]
[支付便捷] -> [舒适/安全]
[视觉层次丰富] -> [愉悦/开心]; [夕阳美景] -> [放松/平静]
[氛围感超好] -> [愉悦/开心]; [放松] -> [骑慢不骑快]
[好看/出片] -> [愉悦/开心]; [宁静] -> [放松/平静]
[美不胜收] -> [愉悦/开心]; [悠闲氛围] -> [放松/平静]
[复古质感] -> [兴趣/好奇]; [出片效果好] -> [愉悦/开心]
[宁静氛围] -> [放松/平静]; [景色宜人] -> [敬畏/惊叹]
[历史文化氛围] -> [兴趣/好奇]; [历史感] -> [自豪/归属感]
[浪漫氛围] -> [愉悦/开心]; [意外惊喜场景] -> [放松/平静]
[历史地位] -> [自豪/归属感]; [国际影响力] -> [敬畏/惊叹]
[成为了历史] -> [怀旧/温馨]
[出片效果好] -> [愉悦/开心]; [落日余晖] -> [放松/平静]
[效率受时间影响] -> [挫败/烦恼]
[历史沉淀] -> [自豪/归属感]; [雄伟壮观] -> [敬仰/惊叹]
[历史悠久] -> [中性情感]
[夜景好看] -> [愉悦/开心]; [骑行很考验人的毅力] -> [兴趣/好奇]
[折扣机制清晰] -> [兴趣/好奇]
[棒的体验] -> [愉悦/开心]; [慢节奏氛围] -> [放松/平静]
[艺术与人文结合] -> [兴趣/好奇]; [民国风情] -> [愉悦/开心]
[日落绝美] -> [愉悦/开心]; [滨江夜景] -> [放松/平静]
[有回忆] -> [怀旧/温馨]; [安静氛围] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [惬意体验] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [自由澎湃] -> [敬畏/惊叹]
[宁静感] -> [放松/平静]; [老下关情怀] -> [自豪/归属感]
[海边的感觉] -> [放松/平静]; [容易出片] -> [愉悦/开心]
[历史感厚重] -> [怀旧/温馨]; [霞光与波光] -> [愉悦/开心]; [梧桐絮落在肩头] -> [放松/平静]
[人生哲学思考] -> [反思/沉思]
[历史感] -> [怀旧/温馨]; [文化街区] -> [愉悦/开心]
[实景更好看] -> [愉悦/开心]; [江面粼光] -> [敬畏/惊叹]
[氛围感强] -> [愉悦/开心]; [出片] -> [愉悦/开心]
[实用便利的交通方式] -> [舒适/安全]
[绝美景观] -> [愉悦/开心]; [文学记忆] -> [敬爱/怀念]
[浪漫氛围] -> [愉悦/开心]; [舒服感受] -> [放松/平静]
[热闹场景] -> [愉悦/开心]; [江豚宝宝的可爱] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]; [历史感] -> [怀旧/温馨]
[有设计感] -> [愉悦/开心]; [有故事] -> [兴趣/好奇]
[治愈氛围] -> [放松/平静]; [浪漫夜景] -> [愉悦/开心]
[历史厚重感] -> [敬畏/惊叹]; [《背影》文学记忆] -> [怀旧/温馨]
[有历史感] -> [中性情感]
[路线清晰] -> [兴趣/好奇]; [功能受限] -> [担忧/焦虑]
[复古浪漫氛围] -> [浪漫/温馨]
[慢生活标签] -> [放松/平静]; [性价比高的旅程] -> [愉悦/开心]
[历史厚重感] -> [怀旧/温馨]; [岁月沧桑感] -> [悲伤/失落]
[适合拍照] -> [愉悦/开心]
[文化熏陶] -> [兴趣/好奇]; [菜品精致可口] -> [愉悦/开心]
[浩荡壮观] -> [敬畏/惊叹]; [金陵梦] -> [舒适/安全]
[慵懒浪漫] -> [放松/平静]; [完美观景台] -> [愉悦/开心]; [江风] -> [舒适/安全]; [朱自清背影地点] -> [怀旧/温馨]
[开阔江景] -> [放松/平静]; [有历史感] -> [愉悦/开心]
[秀美江景] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]; [震撼景观] -> [敬畏/惊叹]
[适合亲子活动] -> [愉悦/开心]; [文化氛围浓厚] -> [兴趣/好奇]
[智慧与勇气的象征] -> [自豪/归属感]; [历史见证] -> [敬佩]
[有历史感] -> [兴趣/好奇]; [有氛围感] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]
[视觉盛宴] -> [敬畏/惊叹]; [文学意象关联] -> [怀旧/温馨]
[超级唯美] -> [愉悦/开心]; [古今千年的诗客写说] -> [敬畏/惊叹]
[历史上的热闹] -> [怀旧/温馨]; [地铁建设预期] -> [希望/期待]
[历史记忆] -> [怀旧/温馨]
[雄伟建筑] -> [敬畏/惊叹]; [历史地标] -> [自豪/归属感]
[风景很美] -> [愉悦/开心]; [氛围安静浪漫] -> [放松/平静]
[拍照打卡地] -> [愉悦/开心]
[美景] -> [愉悦/开心]; [晚风如诗] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [治愈景色] -> [放松/平静]; [出片场景] -> [愉悦/开心]
[有历史感] -> [兴趣/好奇]; [极爽] -> [愉悦/开心]
[怀旧] -> [温馨]
[路线清晰] -> [中性情感]
[文艺风格] -> [兴趣/好奇]; [期待修缮完成] -> [期待/憧憬]
[参与感满满] -> [愉悦/开心]; [儿时回忆] -> [怀旧/温馨]
[宁静氛围] -> [放松/平静]; [怀旧记忆] -> [怀旧/温馨]
[复古风情] -> [兴趣/好奇]; [有种海边的感觉] -> [愉悦/开心]
[绝美夕阳] -> [愉悦/开心]; [海风拂面] -> [放松/平静]
[复古民国的感觉] -> [兴趣/好奇]; [清新日系的感觉] -> [愉悦/开心]
[复古氛围] -> [愉悦/开心]; [浪漫橘子海] -> [愉悦/开心]; [历史痕迹] -> [怀旧/温馨]
[浪漫氛围] -> [愉悦/开心]; [宁静环境] -> [放松/平静]; [历史联想] -> [怀旧/温馨]
[非常出片] -> [愉悦/开心]; [绝美治愈] -> [放松/平静]
[氛围感强] -> [愉悦/开心]; [出片率高] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]
[浪漫] -> [愉悦/开心]; [真的太太太美了] -> [愉悦/开心]
[历史文化厚重] -> [敬佩/赞叹]; [具有设计感] -> [敬佩/赞叹]
[经典线路] -> [Neutral]
[有历史感] -> [放松/平静]; [未发现江豚] -> [失望/悲伤]
[有文化底蕴] -> [自豪/归属感]; [怀旧氛围] -> [怀旧/温馨]
[视觉美观] -> [愉悦/开心]; [傍晚氛围] -> [放松/平静]
[适合拍照] -> [兴趣/好奇]; [步行体验良好] -> [愉悦/开心]
[骑行顺畅] -> [放松/平静]; [夕阳景观] -> [愉悦/开心]
[传统/怀旧] -> [兴趣/好奇]
[超美出片] -> [愉悦/开心]; [超级有氛围感] -> [敬畏/惊叹]
[无敌江景] -> [愉悦/开心]; [民国风情] -> [兴趣/好奇]
[舒适] -> [放松/平静]; [教育意义] -> [兴趣/好奇]
[适合拍照] -> [兴趣/好奇]
[人山人海] -> [烦躁/厌烦]; [在灯塔下坐了很久] -> [放松/平静]
[性价比高] -> [愉悦/开心]; [有历史感] -> [自豪/归属感]
[好看] -> [愉悦/开心]; [出片] -> [兴趣/好奇]
[文艺氛围] -> [愉悦/开心]; [市井烟火气] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [吹吹风] -> [放松/平静]; [出片效果] -> [愉悦/开心]
[适合人像摄影] -> [愉悦/开心]; [舒适光线] -> [放松/平静]
[有历史感] -> [自豪/归属感]; [美轮美奂] -> [敬佩]
[童年回忆] -> [怀旧/温馨]; [江风吹拂] -> [放松/平静]
[雄伟壮观] -> [敬畏/惊叹]; [文化意义] -> [自豪/归属感]
[市集功能明确] -> [无明显情感]
[银杏绝美] -> [惊叹]; [肃穆氛围] -> [敬畏]; [拍照出片] -> [愉悦]
[历史感] -> [怀旧/温馨]; [破败现状] -> [失望/悲伤]
[大自然与文化结合] -> [放松/平静]; [出片] -> [愉悦/开心]; [亲子互动] -> [兴趣/好奇]
[教育资源提升房价预期] -> [兴趣/好奇]; [高层密度] -> [担忧]
[惊艳] -> [愉悦/开心]; [超出片] -> [愉悦/开心]
[好看/出片] -> [愉悦/开心]; [视野开阔] -> [放松/平静]
[有回忆] -> [怀旧/温馨]
[出片] -> [愉悦/开心]; [民国风情] -> [兴趣/好奇]
[有历史感] -> [怀旧/温馨]; [复古风格] -> [敬佩/惊叹]
[深厚人文积淀] -> [自豪/归属感]; [完美交融] -> [敬畏/惊叹]
[有回忆] -> [怀旧/温馨]
[遗失物品] -> [焦急/烦恼]
[历史厚重感] -> [兴趣/好奇]; [有文化底蕴] -> [自豪/归属感]
[松弛感] -> [放松/平静]; [复古氛围] -> [兴趣/好奇]; [出片率高] -> [愉悦/开心]
[风景好看] -> [愉悦/开心]; [骑着也爽] -> [放松/平静]
[治愈] -> [放松/平静]; [有氛围感] -> [愉悦/开心]
[城市更新过程] -> [中立客观态度]
[环境美] -> [愉悦/开心]; [放松氛围] -> [放松/平静]
[时光凝固感] -> [怀旧/温馨]; [历史氛围] -> [放松/平静]
[浪漫氛围] -> [愉悦/开心]; [个人仪式感] -> [放松/平静]
[惬意] -> [放松/平静]; [氛围感] -> [愉悦/开心]
[文化意义] -> [自豪/归属感]; [江风和夕阳] -> [惬意]
[性价比高] -> [舒适/安全]
[好看/出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [有设计感] -> [愉悦/开心]
[舒适] -> [放松/平静]; [光影斑驳] -> [愉悦/开心]; [祭奠先人] -> [怀旧/温馨]
[出片效果] -> [愉悦/开心]; [氛围感] -> [兴趣/好奇]
[户外路线] -> [兴趣/好奇]; [江风] -> [舒适/安全]
[有历史感] -> [怀旧/温馨]; [视野开阔] -> [放松/平静]; [夕阳景色] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [文艺精致] -> [敬佩/惊叹]
[文创设计有吸引力] -> [愉悦/开心]; [江豚可爱] -> [敬畏/惊叹]
[有文化内涵] -> [兴趣/好奇]
[误导性信息] -> [挫败/烦恼]; [交通不便] -> [失望/悲伤]
[支付宝便捷支付] -> [舒适/安全]
[居住功能齐全] -> [中性情感]
[最美] -> [兴趣/好奇]; [有野趣] -> [欣赏]
[有氛围感] -> [放松/平静]; [舒服] -> [愉悦/开心]
[历史文化描述] -> [Neutral]
[灯光设计感强] -> [愉悦/开心]; [夜晚视觉效果惊艳] -> [敬畏/惊叹]
[有视觉吸引力] -> [兴趣]
[历史厚重感] -> [感动/温馨]; [司机和市民的热情帮助] -> [愉悦/开心]
[适合家庭活动] -> [放松/平静]; [出片效果] -> [愉悦/开心]
[自然野趣] -> [惊喜]
[复古民国风格] -> [怀旧/温馨]
[浪漫氛围] -> [浪漫/温馨]; [最佳拍摄地] -> [愉悦/开心]
[性价比高] -> [愉悦/开心]; [白纱帘光影] -> [放松/平静]
[怀旧] -> [愉悦/开心]
[治愈系] -> [放松/平静]; [电影感氛围] -> [愉悦/开心]; [恍惚穿越回片场] -> [怀旧/温馨]
[能出片] -> [兴趣/好奇]; [江上落日] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [惊艳照片效果] -> [惊喜]
[骑行顺畅] -> [放松/平静]; [落日景象] -> [愉悦/开心]
[有故事] -> [温暖/感动]; [有文化底蕴] -> [遗憾]
[有历史意义] -> [敬畏/惊叹]; [有历史意义] -> [自豪/归属感]
[适合安静度假] -> [舒适/安全]; [设施老旧] -> [失望/悲伤]
[有设计感] -> [愉悦/开心]; [出片] -> [放松/平静]
[穿越感] -> [自豪/归属感]; [夜拍萤火] -> [兴趣/好奇]
[夜景超美] -> [愉悦/开心]
[宁静氛围] -> [放松/平静]; [日落美景] -> [愉悦/开心]
[太出片啦] -> [愉悦/开心]; [有文化气息] -> [敬佩/惊叹]
[有象征意义] -> [自豪/归属感]
[有历史感] -> [兴趣/好奇]; [非常好] -> [愉悦/开心]
[风景优美] -> [愉悦/开心]; [宁静氛围] -> [放松/平静]
[宁静氛围] -> [平静]
[浪漫氛围] -> [愉悦/开心]; [宁静环境] -> [放松/平静]
[有历史感] -> [怀旧/温馨]; [有文化意义] -> [敬畏/惊叹]
[视觉美感] -> [愉悦/开心]; [吹江风的舒适感] -> [放松/平静]
[充满松弛感] -> [放松/平静]; [朱自清文学记忆] -> [怀旧/温馨]
[生态意义感] -> [兴趣/好奇]; [观测江豚期待] -> [愉悦/开心]
[浪漫氛围] -> [愉悦/开心]; [鎏金江面] -> [敬畏/惊叹]
[美美出片] -> [愉悦/开心]; [文艺气息] -> [放松/平静]
[怀旧氛围] -> [怀旧/温馨]; [孤独存在] -> [悲伤/失望]
[出片效果] -> [愉悦/开心]; [文艺氛围] -> [放松/平静]
[历史文化联想] -> [怀旧/温馨]
[适合拍照] -> [愉悦/开心]; [光线刚刚好] -> [放松/平静]
[值得专门驱车前往] -> [愉悦/开心]
[出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静]
[有年代感] -> [怀旧/温馨]; [有味道] -> [兴趣/好奇]
[浪漫氛围] -> [愉悦/开心]; [历史感] -> [兴趣/好奇]
[青春疼痛文学主题] -> [悲伤/失望]; [成功拍摄] -> [愉悦/开心]
[有历史感] -> [怀旧/温馨]; [美轮美奂] -> [敬畏/惊叹]
[承载历史情怀] -> [自豪/归属感]; [值得一看] -> [兴趣/好奇]
[通透感] -> [愉悦/开心]; [干净质感] -> [舒适/安全]
[性价比高] -> [开心]; [出片场景] -> [愉悦]; [浪漫氛围] -> [放松]
[出片角度好] -> [愉悦/开心]; [历史文化氛围] -> [敬佩/惊叹]
[历史厚重] -> [怀旧/温馨]; [出片效果] -> [愉悦/开心]; [江景开阔] -> [放松/平静]
[好看] -> [愉悦/开心]
[歷史感強] -> [中性或好奇]
[很美] -> [愉悦/开心]; [江风很舒服] -> [放松/平静]
