关系抽取_RE_Spatial_Cognitive,关系抽取_RE_Cognitive_Emotion,关系抽取_RE_Emotion_Behavior,关系抽取_RE_Spatial_Emotion
[扬子江生态公园] -> [江景无敌]; [民国机电厂遗址] -> [充满历史感],[江景无敌] -> [愉悦/开心]; [放松] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[江风拂面] -> [放松/平静]; [夕阳下的景色] -> [愉悦/开心]
[网红灯塔] -> [好看/出片]; [滨江步道] -> [路线清晰],[好看/出片] -> [愉悦/开心]; [放松] -> [放松/平静],[愉悦/开心] -> [拍照很出片]; [放松/平静] -> [待了很久],[橘子海落日] -> [治愈/敬畏]; [江风] -> [舒适]
[玻璃栈道] -> [有特色]; [景观灯] -> [明亮],,,
[浦口火车站] -> [有历史感]; [民国风格建筑] -> [有设计感],[有历史感] -> [怀旧/温馨]; [有文化底蕴] -> [敬佩/敬畏],[怀旧/温馨] -> [推荐/有兴趣参观],[民国风格建筑] -> [怀旧/温馨]
[出片场景] -> [好看/出片],[好看/出片] -> [愉悦/开心],[愉悦/开心] -> [拍照],
[下关西主题街区] -> [超美]; [江景] -> [完美结合]; [民国特色火车主题] -> [很有氛围],[有氛围感] -> [愉悦/开心]; [完美结合] -> [放松/平静],[愉悦/开心] -> [下次还来],[橘子海落日] -> [治愈/敬畏]
[朱自清雕像] -> [与课文关联]; [没有卖橘子] -> [失望],[与课文关联] -> [怀旧/温馨]; [失望场景] -> [失望/悲伤],[怀旧/温馨] -> [来到课文中的地方]; [失望/悲伤] -> [没有卖橘子],[朱自清雕像] -> [怀旧/温馨]
[101明潮里] -> [艺术园区]; [阅江楼] -> [中式美学氛围拉满]; [银杏树] -> [观赏期],[艺术园区] -> [兴趣/好奇]; [中式美学] -> [欣赏]; [秋色景观] -> [愉悦],[愉悦/开心] -> [推荐]; [放松/平静] -> [周末好去处],[银杏金黄] -> [欣赏]; [开阔视野] -> [舒适]
,,[兴趣/好奇] -> [推荐倾向],[江边] -> [兴趣/好奇]
[夜灯] -> [夜景很美],[夜景很美] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[夜灯景观] -> [愉悦]
[下关火车主题公园] -> [宛如童话世界]; [长江景观] -> [美哭],[宛如童话世界] -> [愉悦/开心]; [宁静氛围] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [下次还来],[长江美景] -> [愉悦/开心]; [江涛声] -> [放松/平静]
[玻璃栈道] -> [视野开阔]; [高空眩晕感] -> [紧张/焦虑],[视野开阔] -> [敬畏/惊叹]; [高空眩晕] -> [紧张/焦虑],[敬畏/惊叹] -> [拍照打卡]; [紧张/焦虑] -> [朋友互相鼓励],[开阔江景] -> [敬畏/惊叹]
[荒烟蔓草] -> [有历史感]; [工业遗迹] -> [独特],[压抑氛围] -> [悲伤/失望]; [历史感] -> [敬畏/惊叹],[悲伤/失望] -> [未明确表达行为意图],[孤独深入江面的栈桥] -> [悲伤/失望]
[英式风格建筑] -> [文艺]; [历史事件关联] -> [有文化氛围],[有历史感] -> [怀旧/温馨]; [有文化底蕴] -> [自豪/归属感],[自豪/归属感] -> [推荐参观],[英式风格建筑] -> [自豪/归属感]
[江豚观赏地] -> [未观察到江豚],,,[鹰抓鱼] -> [中性感受]
[浦口火车站] -> [承载历史记忆]; [站台铁轨] -> [有设计感],[有文化底蕴] -> [怀旧/温馨]; [光影特别美] -> [放松/平静],[怀旧/温馨] -> [推荐; 下次还来],[夕阳光影] -> [放松/平静]
[长江大桥] -> [宏伟]; [玻璃栈道] -> [视野好],[宁静氛围] -> [平静]; [历史感] -> [自豪/归属感],[平静] -> [想常来],[开阔江景] -> [平静]
[下关火车主题公园] -> [适合摄影创作]; [绿皮火车] -> [出片],[出片] -> [愉悦/开心]; [有历史感] -> [自豪/归属感],[愉悦/开心] -> [推荐; 下次还来],[复古风格场景] -> [自豪/归属感]
[长江沿线] -> [让心得到释放]; [落日] -> [超级漂亮],[宁静氛围] -> [放松/平静]; [漂亮景色] -> [愉悦/开心],[放松/平静] -> [适合慢慢走走]; [愉悦/开心] -> [推荐],[江豚] -> [惊喜/期待]; [落日] -> [治愈/敬畏]
[玻璃栈桥] -> [风景很好]; [城墙] -> [较长且一度怀疑走错路],[清净美景] -> [放松/平静]; [天黑人迹罕至] -> [害怕],[害怕] -> [一度怀疑走错路],[城墙喵星人] -> [惊喜]; [晚上亮灯的阅江楼] -> [放松/平静]
,,,
[栈桥] -> [很惊喜]; [长江边] -> [路线清晰],[放松氛围] -> [放松/平静]; [惊喜体验] -> [愉悦/开心],[放松/平静] -> [耗一耗闲暇时光]; [愉悦/开心] -> [推荐; 下次还来],[晚风] -> [舒适]; [落日] -> [治愈]
[蒸汽火车、站台] -> [文艺的、复古风]; [斑驳锈迹] -> [有历史厚重感],[怀旧氛围] -> [怀旧/温馨]; [历史厚重感] -> [敬畏/惊叹],[怀旧/温馨] -> [想常来]; [敬畏/惊叹] -> [推荐],[哐哧哐哧的声音] -> [怀旧/温馨]
,[冷] -> [焦虑/害怕],[焦虑/害怕] -> [负面情绪表达],[气温] -> [焦虑/害怕]
,,,
[老山] -> [森林覆盖率超过80%]; [骑行路况] -> [路况良好、有趣味性],[骑行路况良好] -> [兴趣/好奇]; [森林覆盖率高] -> [舒适/安全],[兴趣/好奇] -> [推荐骑行路线]; [舒适/安全] -> [合理规划补给和着装],[老山自然环境] -> [舒适/安全]
[中山码头轮渡] -> [临时封闭],,,
[铁路轮渡栈桥旧址] -> [不可多得的废铁风打卡胜地]; [退役蒸汽机头和废弃钢轨枕木] -> [历史的荣光],[废铁风] -> [自豪]; [历史荣光] -> [怀旧],[自豪] -> [推荐打卡]; [怀旧] -> [喜欢阴天拍摄],[涛声依旧] -> [怀旧]; [退役蒸汽机头和废弃轨道] -> [历史联想]
,,,
[蒸汽火车头、绿皮车厢] -> [唤醒记忆]; [铁路轮渡栈桥旧址] -> [复古工业风拍摄]; [江边路梧桐树] -> [写满老下关沧桑],[历史厚重感] -> [兴趣/好奇]; [历史故事性] -> [怀旧/温馨],[兴趣/好奇] -> [推荐路线]; [怀旧/温馨] -> [想常来],[江风] -> [舒适体验]
[中西融合风格] -> [兼具实用性与美观性]; [功能分区明确] -> [布局合理],[兼具实用性与美观性] -> [自豪/归属感]; [中国近现代医疗史见证] -> [敬佩],[自豪/归属感] -> [推荐/可参观],[中西融合风格] -> [敬佩]
[下关火车遗址公园] -> [历史感]; [下关梧桐大道] -> [视觉美感],[线路设计合理] -> [愉悦/开心]; [历史感] -> [兴趣/好奇],[兴趣/好奇] -> [推荐该线路],[冬季夕阳] -> [愉悦/开心]
[江边日落] -> [出片]; [中山码头] -> [浪漫氛围],[超出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [情侣约会],[江边日落] -> [放松/平静]
[渡轮] -> [浪漫]; [橘子海日落] -> [出片],[浪漫氛围] -> [愉悦/开心]; [出片效果] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[橘子海日落] -> [愉悦/开心]
[长江] -> [宁静]; [落日] -> [小众],[宁静] -> [放松/平静]; [小众] -> [愉悦/开心],[放松/平静] -> [喜欢看水],[长江] -> [愉悦/开心]; [落日] -> [愉悦/开心]
[轮渡] -> [价格低廉]; [浦口火车站旧址] -> [文学与影视文化价值],[文学与影视文化价值] -> [兴趣/好奇],[兴趣/好奇] -> [推荐],[浦口火车站旧址] -> [兴趣/好奇]
[711便利店] -> [好看/出片]; [蓝调+暖橘灯光] -> [有设计感],[好看/出片] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[蓝调+暖橘灯光] -> [愉悦/开心]
[浦口火车站] -> [中国最文艺的火车站]; [《背影》主题雕塑] -> [有散文氛围],[文艺氛围] -> [愉悦/开心]; [历史文化关联] -> [敬爱/崇敬],[愉悦/开心] -> [推荐游览路线],[《背影》雕塑] -> [怀旧/温馨]
[浦口火车站] -> [《背影》文学记忆],[文学记忆联想] -> [兴趣/好奇],[兴趣/好奇] -> [推荐/有意愿前往],[《背影》写作地] -> [敬佩/怀旧]
[滨江公园] -> [适合city walk]; [镇江阁] -> [标志性建筑],[景色美] -> [愉悦/开心]; [互动表演] -> [兴趣/好奇],[愉悦/开心] -> [推荐游玩],[滨江夜景] -> [放松/平静]
[鼓楼滨江风光带] -> [距离100米]; [地铁5号线] -> [距离50米],,,
[百年铁轨] -> [有历史感]; [朱自清橘子雕塑] -> [文学氛围拉满]; [绿皮火车头] -> [工业风怀旧感],[文学氛围拉满] -> [敬畏/惊叹]; [工业风怀旧感] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 下次还来],[朱自清橘子雕塑] -> [敬畏/惊叹]; [日落] -> [愉悦/开心]
[中山码头] -> [南京下关滨江区域的一部分],[行程安排合理且丰富] -> [兴趣/好奇],[兴趣/好奇] -> [推荐],
[下关火车主题公园] -> [美到让人窒息]; [长江大桥玻璃栈道] -> [蓝调时刻绝美],[美到让人窒息] -> [敬畏/惊叹]; [蓝调时刻绝美] -> [愉悦/开心],[愉悦/开心] -> [拍照]; [愉悦/开心] -> [推荐],[落日] -> [敬畏/惊叹]; [晚风] -> [舒适/放松]
[江豚观测点] -> [适合拍摄],[适合拍摄] -> [兴趣/好奇],[兴趣/好奇] -> [拍摄多段镜头并进行剪辑],[江豚] -> [兴趣/好奇]
[江上落日] -> [盛大且浪漫]; [靠窗座位] -> [第一视角看江景落日],[浪漫氛围] -> [愉悦/开心]; [被小事治愈] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[江上落日] -> [敬畏/惊叹]
[浦口火车站] -> [有历史感],[有历史感] -> [怀旧/温馨],[怀旧/温馨] -> [提问互动],
[红色瓦顶] -> [太美了]; [民国风格建筑] -> [适合穿民国服装],[有历史感] -> [怀旧/温馨]; [民国风格] -> [愉悦/开心],[好奇/惊讶] -> [主动了解历史],[红色瓦顶建筑] -> [太美了]
[夕阳] -> [醉我夕阳]; [樱花] -> [慢慢舞蹈],[浪漫氛围] -> [愉悦/开心]; [放松体验] -> [放松/平静],[愉悦/开心] -> [推荐/下次还来],[夕阳] -> [敬畏/惊叹]; [樱花] -> [愉悦/开心]
[工业遗存] -> [有历史感]; [工业遗存] -> [有文化底蕴],[有历史感] -> [自豪/归属感],[自豪/归属感] -> [推荐保护工业遗存],
,,,
[南京北站] -> [拍照很出片]; [江豚文化小站] -> [江豚周边可爱],[拍照很出片] -> [兴趣/好奇]; [江豚周边可爱] -> [愉悦/开心],[愉悦/开心] -> [推荐],[轮渡体验] -> [2元钱的快乐]
[民国风情街] -> [有设计感]; [旧物仓] -> [有回忆],[怀旧氛围] -> [怀旧/温馨]; [街区未完全开放] -> [悲伤/失望],[怀旧/温馨] -> [参观并拍照]; [悲伤/失望] -> [不推荐美食],[烟花] -> [怀旧/温馨]
[浦口火车站近代建筑风貌街区] -> [有很多可以拍照的地方]; [轮渡服务] -> [半小时一趟],[吹吹江风] -> [放松/平静]; [拍照体验] -> [愉悦/开心],[放松/平静] -> [推荐作为休闲去处],[近代建筑风貌] -> [愉悦/开心]
[亲水圆环景观桥] -> [网红打卡]; [桥景] -> [出片]; [亮灯夜景] -> [美]; [金川河与江水交汇] -> [颜色独特],[适合遛娃] -> [放松/平静]; [网红打卡] -> [兴趣/好奇]; [江景好看] -> [愉悦/开心],[愉悦/开心] -> [推荐; 必打卡]; [放松/平静] -> [一日游或半日游],[亮灯夜景] -> [愉悦/开心]; [河水交汇颜色] -> [兴趣/好奇]
[红砖墙] -> [有历史感]; [民国建筑] -> [文艺气息浓厚],[历史厚重感] -> [敬畏/惊叹]; [回忆感] -> [怀旧/温馨],[宁静与感动] -> [放慢脚步细细品味],[红砖白墙] -> [审美愉悦]; [铁轨延伸] -> [思绪飞扬]
[长江大桥] -> [壮观]; [长江大桥] -> [新金陵四十八景之一],[标志着中国辉煌的起点] -> [自豪/归属感]; [壮观] -> [敬畏/惊叹],[敬畏/惊叹] -> [推荐/建议参观],[壮观的桥梁结构] -> [敬畏/惊叹]
[百年民国建筑] -> [有历史感]; [繁花大片] -> [出片],[高水准] -> [敬畏/惊叹]; [出片] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[世界级艺术品] -> [敬畏/惊叹]
,,,
[长江大桥夜景] -> [震撼的美]; [玻璃栈道灯光] -> [美丽],[震撼的美] -> [敬畏/惊叹]; [浪漫邂逅] -> [浪漫/温馨],[敬畏/惊叹] -> [驻足停留]; [浪漫/温馨] -> [推荐],[波光粼粼的江面] -> [愉悦/开心]; [火车轰鸣] -> [震撼]
[浦口火车站] -> [有历史感]; [老英式建筑] -> [有设计感],[有文化底蕴] -> [怀旧/温馨]; [文艺氛围] -> [兴趣/好奇],[怀旧/温馨] -> [推荐/有兴趣前往],[历史建筑] -> [怀旧/温馨]
[玻璃栈道] -> [照明功能正常]; [长江大桥不开灯] -> [手机可拍出好效果],[手机可拍出好效果] -> [兴趣/好奇],[兴趣/好奇] -> [拍照],[手机拍摄效果] -> [兴趣/好奇]
[玻璃栈道] -> [出片]; [下关火车主题公园] -> [有历史感],[有历史感] -> [兴趣/好奇]; [出片] -> [愉悦/开心],[愉悦/开心] -> [推荐],[开阔江景] -> [放松/平静]
[轮渡服务] -> [支付方式便捷]; [楼层分区] -> [功能分区合理],[支付方式便捷] -> [中性情绪]; [时间安排明确] -> [中性情绪],[中性情绪] -> [信息记录],
[中山码头] -> [有历史感; 有故事; 有文化底蕴],[有历史感] -> [Neutral],,
[浦口火车站未开放] -> [失望/不满]; [大马路招商水平低] -> [低配版1912],[低配版1912] -> [失望/悲伤]; [未开发的历史资源] -> [厌恶],[失望/悲伤] -> [劝退; 不会再来],[未开放的浦口火车站] -> [失望/悲伤]
[沿江] -> [超有感觉],[超有感觉] -> [愉悦/开心; 期待],[期待] -> [等待模特档期],[沿江景观] -> [愉悦/开心]
,,,
[月台] -> [有历史感]; [浦口火车站] -> [有故事],[有故事] -> [怀旧/温馨]; [怀旧] -> [悲伤/失望],[悲伤/失望] -> [背影在月台边渐渐远去],[月台] -> [怀旧/温馨]
[下关火车主题公园] -> [南京最早的火车站]; [火车车厢] -> [可以上去]; [江边] -> [适合拍摄],[适合拍摄] -> [愉悦/开心]; [安静舒适] -> [放松/平静],[愉悦/开心] -> [推荐; 适合拍摄],[猫猫亲人] -> [愉悦/开心]
[落日] -> [美丽/壮观],[浪漫/宁静] -> [愉悦/开心],[愉悦/开心] -> [观景],[夕阳景观] -> [敬畏/惊叹]
[秋季景色] -> [最有魅力的时间]; [下关火车主题公园] -> [出片],[最有魅力的时间] -> [愉悦/开心]; [出片] -> [愉悦/开心],[愉悦/开心] -> [推荐/下次还来],[红色树叶和江景] -> [愉悦/开心]; [历史建筑与自然融合] -> [敬畏/惊叹]
[民国首都电厂旧址公园] -> [有历史感]; [咖啡厅] -> [极度氛围感],[极度氛围感] -> [愉悦/开心]; [适合拍照的地方] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[时代变迁的痕迹] -> [敬畏/惊叹]
,,[尴尬/社死] -> [担心被路人拍摄]; [愉悦/开心] -> [自己看图都笑死了],
[橘子海] -> [浪漫]; [轮渡] -> [出片]; [老式火车厢] -> [有感觉],[浪漫氛围] -> [愉悦/开心]; [开阔江景] -> [放松/平静]; [江风] -> [舒适/安全],[愉悦/开心] -> [推荐; 下次还来],[橘子海落日] -> [愉悦/开心]; [江风] -> [舒适/安全]
[新建景观] -> [功能未知],[有活力] -> [无明显情感倾向],,
[轮渡、夕阳、老火车站] -> [很好拍]; [排队效率] -> [很快],[故事感强] -> [兴趣/好奇]; [拍照好看] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来],[夕阳] -> [愉悦/开心]
[101明潮里] -> [潮流艺术园区]; [阅江楼] -> [中式美学氛围拉满],[潮流艺术] -> [兴趣/好奇]; [中式美学] -> [愉悦/开心],[放松/平静] -> [周末好去处],[银杏秋色] -> [愉悦/开心]
[下关火车公园] -> [有历史感],[有历史感] -> [愉悦/开心],[愉悦/开心] -> [推荐他人来南京旅游],[下关火车公园] -> [愉悦/开心]
[玻璃栈桥] -> [出片]; [民国建筑] -> [有历史感]; [江豚观赏地] -> [有趣],[出片] -> [愉悦/开心]; [有历史感] -> [怀旧/温馨],[愉悦/开心] -> [推荐; 想常来],[绝美日落] -> [治愈/惊叹]; [江豚] -> [喜爱]
[老山大坡] -> [难以加速]; [湿滑泥泞] -> [力不从心],[力不从心] -> [挫败/烦恼]; [骑行挑战] -> [兴趣/好奇],[挫败/烦恼] -> [以后老老实实骑江心洲吧],[连续上下坡] -> [疲惫]
[老厂房] -> [工业风打卡地]; [阅江楼] -> [中式美学氛围拉满],[中式美学氛围] -> [愉悦/开心]; [宠物友好] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[银杏树秋色] -> [兴趣/好奇]
[浦口火车站] -> [魂牵梦绕]; [火车站旧址] -> [有文化内涵],[怀旧氛围] -> [怀旧/温馨]; [历史联想] -> [愉悦/开心],[怀旧/温馨] -> [流连]; [愉悦/开心] -> [推荐给有情怀的人],[火车站旧址] -> [怀旧/温馨]
[金色阳光洒满江面] -> [不比海边差],[不比海边差] -> [愉悦/开心],[愉悦/开心] -> [推荐选择好天气去观看],[金色阳光洒满江面] -> [愉悦/开心; 敬畏/惊叹]
[轮渡线路] -> [票价便宜]; [扬子江生态公园] -> [设施齐全],[家庭友好环境] -> [愉悦/开心]; [江景优美] -> [放松/平静],[愉悦/开心] -> [推荐; 想常来],[江景和日落] -> [放松/平静]
[铁路轮渡旧址] -> [有历史感],[有历史感] -> [怀旧]; [有文化底蕴] -> [敬佩],[怀旧] -> [推荐参观了解历史],
[轮渡] -> [可赏江景]; [图书馆] -> [自己拍摄的照片],[精美图片] -> [兴趣/好奇]; [附上《背影》原文] -> [自豪/归属感],[兴趣/好奇] -> [推荐中山码头～浦口码头轮渡],[江景] -> [观赏兴趣]
[江豚] -> [活跃],[活跃] -> [愉悦/开心],[愉悦/开心] -> [分享观察体验],[江豚跃出水面] -> [兴趣/好奇]
,,,
[南京长江大桥] -> [有历史意义],[有历史意义] -> [自豪/归属感],[自豪/归属感] -> [赞美和传播],
,,,
[浦口火车站] -> [已封锁无法进入],[与文学/影视作品关联] -> [兴趣/好奇]; [无法进入] -> [失望/遗憾],[失望/遗憾] -> [不推荐/劝退],[与文学/影视作品关联] -> [兴趣/好奇]
[小红楼] -> [浪漫日落]; [老建筑] -> [有历史感],[浪漫日落] -> [愉悦/开心]; [历史感] -> [怀旧/温馨],[放松/平静] -> [独处放空]; [愉悦/开心] -> [想常来],[江风] -> [舒适]; [波光粼粼江面] -> [愉悦]
[阅江楼] -> [太好拍了]; [梧桐树阵] -> [走在树下就是舒服]; [江豚广场] -> [最美广场],[太好拍了] -> [愉悦/开心]; [最美广场] -> [愉悦/开心],[愉悦/开心] -> [推荐/值得来],[阅江楼一镜到底视角] -> [惊叹/敬畏]; [梧桐树阵] -> [愉悦/开心]
,[享受户外时光] -> [放松/平静],[放松/平静] -> [推荐],
[中山码头] -> [人山人海]; [浦口码头网红化] -> [人潮汹涌],[人潮汹涌] -> [烦恼/挫败]; [排队时间长] -> [厌烦],[烦恼/挫败] -> [短期内不会再去],[排队拥挤] -> [厌烦]
[下关火车主题公园] -> [未明确说明],,[愉悦/开心] -> [忍不住发照片],[外景拍摄] -> [愉悦/开心]
[工业遗存] -> [承载工业记忆]; [防汛墙改造] -> [空间布局清晰],[工业文化氛围] -> [敬佩/惊叹]; [场所精神营造] -> [兴趣/好奇],[敬佩/惊叹] -> [推荐作为同类项目参考],[开阔视野] -> [舒适/放松]
,,,
[民国小楼] -> [错落有致]; [红色革命氛围] -> [有氛围感],[民国建筑] -> [愉悦/开心]; [红色革命氛围] -> [敬佩/感动],[愉悦/开心] -> [推荐一起打卡]; [敬佩/感动] -> [建议留点时间游览],[法国梧桐和民国小楼] -> [宁静且有烟火气]
[阅江楼] -> [非常漂亮]; [铁路轮渡栈桥旧址] -> [工业废土风],[出片场景] -> [愉悦/开心]; [宁静氛围] -> [放松/平静],[喜欢画面] -> [推荐/想再来],[碧瓦朱楹] -> [愉悦/开心]; [工业废土风] -> [愉悦/开心]
[浦口火车站] -> [百年历史感]; [民国风格建筑] -> [有设计感],[文学经典《背影》场景] -> [怀旧/温馨]; [复古民国风情] -> [愉悦/开心],[怀旧/温馨] -> [开启一场穿越时空的文学复古之旅]; [愉悦/开心] -> [推荐],[站台场景] -> [怀旧/温馨]
,,,
[江景樱花] -> [别具特色]; [樱花林] -> [美丽]; [游客相对较少] -> [拍摄好地方],[壮丽景色] -> [愉悦/开心]; [美丽风景] -> [放松/平静],[愉悦/开心] -> [推荐; 想再来]; [放松/平静] -> [适合拍照和散步],[江景樱花] -> [愉悦/开心]
,[易被遗忘] -> [悲伤/失望]; [历史记忆的消逝] -> [感慨/无奈],[感慨/无奈] -> [无明确行为意图],
[玻璃栈道] -> [视野开阔]; [落日] -> [坠佳场所],[视野开阔] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[落日] -> [治愈/敬畏]; [灯光] -> [浪漫/温馨]
[祁家桥俱乐部] -> [神秘感]; [设计细节] -> [有设计巧思],[神秘感] -> [好奇]; [设计巧思] -> [敬畏],[好奇] -> [探索历史]; [敬畏] -> [欣赏设计],[旧时审美] -> [敬畏]
[南京长江大桥] -> [格外美腻]; [春茗熙茶楼] -> [性价比高]; [老韩柴火馄饨] -> [苍蝇馆子],[美腻风景] -> [愉悦/开心]; [性价比高] -> [愉悦/开心]; [苍蝇馆子] -> [兴趣/好奇],[愉悦/开心] -> [推荐公交过桥及春茗熙茶楼]; [兴趣/好奇] -> [尝试老韩柴火馄饨],[雨后大桥风景] -> [治愈/惊叹]
[玻璃栈桥] -> [有设计感]; [落日] -> [太美了],[太美了] -> [愉悦/开心]; [南京人专属浪漫] -> [归属感],[愉悦/开心] -> [推荐]; [敬畏/惊叹] -> [成功赶上落日时刻],[落日景观] -> [愉悦/开心]; [玻璃栈桥景观] -> [敬畏/惊叹]
[方块状的新建住宅小区] -> [现代化]; [横平竖直的路网] -> [规整],[步行不会特别累] -> [中性],[中性] -> [根据具体行程选择站点],
[日落] -> [漂亮]; [暖光] -> [与胶片滤镜超搭],[漂亮] -> [愉悦/开心]; [出片] -> [敬畏/惊叹],[愉悦/开心] -> [摄影],[日落] -> [愉悦/开心]; [暖光] -> [愉悦/开心]
[绿皮火车] -> [出片]; [江豚书屋] -> [娃最爱],[树荫遮阳] -> [舒适/安全]; [书店体验] -> [愉悦/开心],[愉悦/开心] -> [推荐/可能会再来],[燕子] -> [惊喜/兴趣]; [语文课本场景] -> [怀旧/温馨]
[夕Space] -> [南京唯一真正江景婚礼]; [江景视野] -> [有设计感、出片效果],[专业服务] -> [自豪/归属感]; [热烈氛围] -> [愉悦/开心],[愉悦/开心] -> [推荐; 下次还来]; [兴奋/激动] -> [跳舞; 参加afterparty],[江景视野] -> [浪漫/欣赏]; [热天气] -> [对饮品的需求增加]
[长江大桥] -> [有历史感],[有回忆] -> [怀旧/温馨]; [有文化底蕴] -> [自豪/归属感],[怀旧/温馨] -> [记忆分享],[长江大桥] -> [自豪/归属感]
[滩涂+夕阳] -> [有氛围感]; [四点多光线] -> [电影感],[出片] -> [愉悦/开心]; [氛围感] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[橘子海落日] -> [愉悦/开心]; [潮汐声] -> [放松/平静]
[微笑驿站] -> [提供地图和章]; [主题邮局] -> [提供章],[探索性氛围] -> [兴趣/好奇]; [未找到章] -> [遗憾],[遗憾] -> [没有久留],
[轮渡] -> [无需排队]; [扬子江生态公园] -> [一线江景超赞],[无需排队] -> [放松/平静]; [一线江景] -> [愉悦/开心],[放松/平静] -> [推荐]; [愉悦/开心] -> [下次还来],[夕阳江面] -> [愉悦/开心]
[橘子味江畔日落] -> [电影感拉满]; [中山码头2元轮渡] -> [性价比高],[浪漫氛围] -> [愉悦/开心]; [治愈画面] -> [放松/平静],[愉悦/开心] -> [推荐]; [放松/平静] -> [下次还来],[橘子味江畔日落] -> [愉悦/开心]
,,,
[下关大桥] -> [景美]; [水浑浪稳] -> [坐钓环境评价],[无鱼咬钩] -> [失望/悲伤]; [死鱼上钩] -> [厌烦],[失望/厌烦] -> [提前离开]; [兴趣/好奇] -> [继续尝试钓鱼],[大鲤跃起] -> [兴趣/好奇]
[玻璃栈桥] -> [观赏长江大桥],,[愉悦/开心] -> [带父母来游览],[长江大桥景观] -> [愉悦/开心]
[江景] -> [开阔]; [火车] -> [休闲]; [世纪缘酒店] -> [有回忆],[开阔江景] -> [放松/平静]; [美食] -> [愉悦/开心]; [回忆] -> [怀旧/温馨],[愉悦/开心] -> [推荐/下次还来]; [放松/平静] -> [吃完再走走欣赏江景],[江豚] -> [惊喜]; [火车] -> [休闲]
[玻璃栈桥夜晚灯光] -> [超级美]; [路边指示牌] -> [路线清晰],[好看] -> [愉悦/开心]; [浪漫氛围] -> [敬畏/惊叹],[愉悦/开心] -> [推荐/下次还来],[玻璃栈桥夜晚灯光] -> [愉悦/开心]
[江边] -> [替代性选择],[替代性选择] -> [放松/平静],[放松/平静] -> [观景、吹风],[江风] -> [放松/平静]
[轮渡甲板] -> [视野更好]; [粉雾海落日] -> [很美],[粉雾海落日] -> [愉悦/开心]; [浪漫氛围] -> [放松/平静],[愉悦/开心] -> [推荐; 下次还来],[粉雾海落日] -> [愉悦/开心]; [开阔视野] -> [放松/平静]
[下关滨江] -> [适合散步聊天]; [夕阳] -> [视觉效果好],[时间张弛有度] -> [放松/平静]; [古典意境] -> [怀旧/温馨],[愉悦/开心] -> [下次还来],[夕阳] -> [愉悦/开心]; [江风] -> [舒适]
[下关火车主题公园] -> [出片]; [滨江步道] -> [路线清晰],[轻松氛围] -> [放松/平静]; [儿童乐园] -> [愉悦/开心],[放松/平静] -> [玩了一下午]; [愉悦/开心] -> [推荐此路线],[开阔江景] -> [放松/平静]
[电厂主体] -> [遗憾地改造]; [大烟囱（假设存在）] -> [增色不少],[遗憾] -> [失望]; [未能完整保留] -> [惋惜],,[大烟囱（已拆除）] -> [惋惜]
[铁路轮渡栈桥旧址] -> [历史感]; [长江大桥] -> [壮阔],[古今交融] -> [兴趣/好奇]; [江水浑黄+阴云] -> [壮阔],[兴趣/好奇] -> [沿江漫步至铁路轮渡栈桥旧址],[阅江楼远景] -> [惊叹]; [长江大桥] -> [敬畏]
[南京长江大桥] -> [有历史感]; [骑行体验] -> [有活力],[有历史感] -> [敬畏/惊叹]; [有氛围感] -> [自豪/归属感],[自豪/归属感] -> [推荐; 下次还来],[骑行在南京长江大桥] -> [敬畏/惊叹]
[下关西公园到中山码头路线] -> [路线清晰]; [落日] -> [浪漫],[浪漫氛围] -> [愉悦/开心]; [城市漫步体验] -> [放松/平静],[愉悦/开心] -> [推荐体验该路线],[落日浪漫] -> [愉悦/开心]
[南京长江大桥] -> [壮观]; [亲水圆环景观桥] -> [精致]; [徒步] -> [耗体力],[壮观] -> [兴趣/好奇]; [过江难] -> [紧张/焦虑],[紧张/焦虑] -> [避开早晚高峰/逆向游览],[华灯初上] -> [兴趣/好奇]
[南京长江大桥] -> [精神脊梁]; [南京长江大桥] -> [民族记忆]; [南京长江大桥] -> [教育意义],[精神脊梁] -> [自豪/归属感]; [民族记忆] -> [怀旧/温馨]; [开创意义] -> [敬畏/惊叹],[自豪/归属感] -> [重视/推荐了解其历史意义]; [怀旧/温馨] -> [回忆老师带参观的经历],[南京长江大桥] -> [自豪/归属感]; [大桥重新开放庆祝场面] -> [震撼/惊叹]
