关系抽取_RE_Spatial_Cognitive
[锦绣江山花园] -> [配套比较全]; [锦绣江山花园] -> [小区较老]
[船上风景] -> [太美了]; [晚霞和落日] -> [很美]
[南京长江大桥] -> [教科书级地标]; [玻璃栈道] -> [电影感拉满]; [孤独灯塔] -> [超级出片]; [樱花大道] -> [美到窒息]
[钢铁结构大桥] -> [英伦风]; [大桥] -> [有设计感]
[复古建筑] -> [历史感浓厚]; [工业遗迹] -> [见证历史]; [长江大桥] -> [宏伟壮观]
[小火车] -> [小朋友喜欢]; [出片的好地方] -> [视觉吸引力]
[江岸线] -> [视线开阔]; [跑步步道] -> [路况良好]
[中山码头] -> [出行工具]; [船只] -> [适应大自然]
[轮渡] -> [票价便宜]; [老浦口火车站] -> [拍照打卡有那味儿了]
[中山码头轮渡] -> [只要2元就能在长江大桥上游荡]; [长江大桥] -> [太绝了]
[天王府] -> [尊严与庄重]; [总统府] -> [尊严与庄重]; [工农兵雕像] -> [壮志昂扬]; [桥墩诗句] -> [苍劲有力]
[桥头堡] -> [标志性建筑]; [夜景灯光] -> [壮观]; [雕塑与纪念碑] -> [历史厚重]
[江边小路] -> [缺乏维护]; [日落景观] -> [拍照好看]
[江豚观赏平台] -> [延伸视角]; [江豚雕塑] -> [景观协调]
[轮渡] -> [出片效果好]; [落日] -> [日落浪漫]
[江边礁石] -> [出片]; [日落] -> [看海即视感]
[南京北站] -> [完整的英式建筑风格]; [民国的记忆] -> [有历史感]
[落日] -> [夕阳美丽]; [咖啡店] -> [适合观看落日和休闲]
[泰和里商业街] -> [完美交融]; [火车公园] -> [民谣音乐会氛围好]
[台阶] -> [适合停留休息]; [蓝调时刻] -> [有美感]
[长江大桥灯光] -> [震撼]; [桥墩下仰拍角度] -> [赛博朋克感]
[南京下关火车主题公园] -> [适合拍摄]; [民国风格建筑] -> [有历史感]
[夕Space法式装修] -> [浪漫氛围]; [江边夕阳] -> [绝美、明净、静谧]
[711便利店] -> [出片]
[下关铁路轮渡栈桥旧址] -> [复古感强]; [工业风建筑] -> [hin出片]
[南京长江大桥] -> [有历史感/有文化底蕴]
[江豚] -> [很可爱]; [江心村落] -> [无人]
[下关火车主题公园] -> [很有年代感]; [夜景] -> [别有浪漫]
[民国建筑] -> [有历史感]; [江豚] -> [幸运]; [夕阳] -> [惬意]
[钓鱼台] -> [太适合CityWalk]; [秦淮河] -> [风景优美]
[下关火车主题公园] -> [太出片]; [火车内外景及江边风光] -> [拍摄人像的绝佳地点]
[环江路线] -> [宝藏线路]; [玻璃栈桥] -> [深度打卡]
[轮渡] -> [非常震撼]; [夕阳洒在江面] -> [太美啦]
[180度江景] -> [浪漫]; [观景落地窗] -> [出类拔萃]
[高楼] -> [视野开阔]; [新旧对比景观] -> [视觉冲击力强]
[老火车] -> [有年代感]; [废旧火车和轨道] -> [引发对时代变化的思考]
[绿皮火车] -> [有设计感]; [傍晚江景] -> [美观]
[夕Space落日餐厅] -> [浪漫]
[老式指示牌、旧式路灯] -> [复古风情]; [梧桐大道] -> [天然秋日滤镜]; [老式火车头] -> [极具历史感]
[浦口码头] -> [见证民国历史]; [浦口火车站] -> [复古怀旧美]
[浦口火车站] -> [具有文化底蕴]; [老物件展示] -> [让你一秒穿越旧时光]
[中山码头] -> [适合拍照打卡]; [橘子海日落] -> [出片; 特别特别美]
[浦口火车站] -> [有年代感]; [展馆] -> [感受年代氛围]
[下关火车主题公园] -> [复古与潮流结合]; [民国首都电厂旧址] -> [有历史感]; [浦口火车站橘子元素] -> [联想到《背影》]
[中山码头改造] -> [清爽]; [栈桥坡度] -> [不友好]
[下关] -> [有历史感]; [近现代的历史遗址] -> [有文化底蕴]; [现代的城市风貌] -> [奇妙]
[民国首都电厂旧址公园] -> [有历史感]; [工业风格建筑] -> [有设计感]
[红灯笼] -> [诗意场景]; [凌霄花] -> [美观]
[静海寺纪念馆] -> [可以静静看历史]; [阅江楼] -> [城市景观尽收眼底]
[津浦铁路] -> [承载个人回忆]
[蒸汽火车头和绿皮车厢] -> [充满历史气息]; [民国特色站台建筑] -> [有历史感]; [铁路文化艺术墙] -> [有文化底蕴]
[蒸汽火车头] -> [一秒穿越回80年代]; [网红路牌] -> [出片效果好]
[樱花大道] -> [出片]; [达摩石窟] -> [有设计感]
[绿皮火车与锈迹车厢] -> [有故事感]; [全透明落地窗候车厅] -> [发丝都在发光]; [老站台时钟与铁皮信号灯] -> [细节控狂喜]
[长江大桥] -> [工业建筑之美]; [橘子海] -> [让人想到歌曲]
[煤炭港] -> [庄严肃穆]; [宝塔桥] -> [历史价值高]
[中山码头] -> [特别好看]; [浦口火车站] -> [废弃且有历史感]
[大马路] -> [盛极一时的黄金外滩]; [民国建筑] -> [精美]
[长江大桥] -> [地标意义]
[落日] -> [值得记录]
[中山码头] -> [拥挤]; [排队系统] -> [不完善]
[铁路轮渡栈桥] -> [可以看到长江]; [夕阳] -> [很舒服]
[民国小楼] -> [神秘]; [原首都电厂办公室变成了艺廊兼咖啡馆] -> [一切都刚刚好]
[中山码头轮渡] -> [实用性强]; [五马渡码头游船] -> [深度体验]
[下关火车公园] -> [出片]; [日落] -> [有氛围感]
[玻璃栈桥] -> [适合拍日落]; [步行可达性] -> [方便]
[玻璃栈桥] -> [有设计感]; [青草草坪] -> [适合露营打滚]
[沿江边路] -> [路线清晰]; [轮渡服务] -> [价格实惠]
[浦口火车站] -> [有历史感]; [长江水清澈] -> [视觉美感]
[轮渡] -> [浪漫]; [火车] -> [好看]
[滨江风光带] -> [位置便利]; [主题包间] -> [适合宴请宾客]
[长江] -> [波澜壮阔]; [玻璃栈道] -> [很有氛围感]
[中山码头] -> [绝美日落]; [三层夹板] -> [看风景极佳]
[轮渡] -> [绝美日落欣赏点]; [观景平台] -> [出片]
[青铜雕像手持橘子] -> [父爱故事]; [民国风情建筑] -> [文艺氛围]
[浦口火车站] -> [仿佛穿越]; [民国风格建筑] -> [独特韵味]; [绿色火车] -> [出片]
[绿色波浪起伏] -> [景色宜人]; [货船划出蜿蜒弧线] -> [有设计感]
[日落] -> [绝美]
[南堡公园] -> [地方认同感]; [大桥公园] -> [熟悉感]
[轮渡汽笛声] -> [熟悉]; [幕府山剪影] -> [宁静氛围]
[101明潮里] -> [有设计感]; [阅江楼] -> [中式美学氛围拉满]
[中山码头] -> [特别特别纠结首图]
[中山码头轮渡] -> [浪漫]; [夕阳和晚霞] -> [美哭了]
[民国首都电厂旧址公园] -> [有历史感]
[下关火车主题公园] -> [清净小资文艺]; [绿皮火车] -> [怀旧氛围]
[长江大桥] -> [太美啦]; [灯光] -> [适合拍照]
[粉嫩樱花+落日余晖] -> [超级出片]; [京都风格] -> [氛围感强]
[锈迹斑斑的轮渡] -> [诗意氛围]; [盈盈波光] -> [视觉美感]
[南京长江大桥] -> [火车鸣笛伴随着日落]; [橘子海] -> [出片; 视觉冲击力强]
[宪法公园] -> [建筑美学]; [江边散步] -> [非常惬意]
[下关滨江] -> [底子不错但需要改进]
[中山码头] -> [乘坐轮渡]; [玻璃栈道] -> [佛顶宫拍照] ; [寄存柜人脸识别] -> [功能性强]
[大马路; 中山码头; 阅江楼; 扬子饭店] -> [有历史感; 有文化底蕴]
[蒸汽火车头] -> [拍出大片]; [落日橘子海] -> [浪漫]
[日落] -> [美]
[紫峰大厦] -> [打卡机位]; [玻璃栈道] -> [分外雄伟]
[翻林子] -> [体力消耗]; [照片] -> [震撼]
[中山码头; 浦口码头; 下关火车主题公园; 长江大桥] -> [自然且真实]
[长江大桥] -> [神秘感]; [玻璃栈道] -> [大名鼎鼎]; [不同颜色的火车] -> [精致设计]
[城市灯光] -> [颜色鲜明]; [灯光氛围] -> [很出片]
[玻璃栈桥] -> [好看]; [晚上灯光] -> [很美]
[下关火车主题公园] -> [电影感强烈]; [工业风建筑] -> [有氛围感]
[中山码头] -> [票价低廉]; [南京西站] -> [怀旧氛围]
[江豚] -> [微笑精灵]; [渡轮] -> [2元性价比高]
[长江大桥] -> [宏伟]; [落日余晖] -> [秀美]; [玻璃栈道] -> [有设计感]
[阴天的光影] -> [有美感]
[下关火车公园] -> [网红观景地]; [铁路轮渡栈桥旧址] -> [国内首条火车轮渡线]; [民国海军医院旧址] -> [中西结合建筑风格]
[鼓楼滨江地段] -> [稀缺性]; [低密度洋房社区] -> [颜值与质感兼备]
[下关火车主题公园] -> [起点]; [江豚观赏地] -> [风景很美]; [轮渡] -> [价格低廉]
[玻璃桥] -> [很容易观赏到长江大桥]; [相框装置] -> [很出片]
[红墙上的光影] -> [有设计感]; [火车轰鸣声] -> [怀旧]
[双层大桥] -> [真的很大]; [玻璃栈道] -> [拍摄机位]
[绿皮火车; 轨道; 信号灯; 民国特色站台] -> [适合拍复古风]; [江边] -> [适合拍日系小清新]; [铁路轮渡栈桥] -> [适合拍朋克系列]
[浦口火车站] -> [有历史感]; [民国老建筑] -> [文艺]; [轮渡看日落] -> [浪漫]
[落日] -> [好看]
[轮渡] -> [性价比高]; [下关火车主题公园] -> [适合亲子]
[夕Space落日餐厅] -> [梦幻圣诞夜]; [雪景+江面] -> [静谧柔和]
[火车站旧址] -> [有历史感]; [津派建筑] -> [走进旧时光]
[江豚] -> [可可爱爱]; [长江微笑驿站] -> [远离喧嚣]
[轮渡夕阳] -> [超级浪漫]; [民国首都电厂旧址公园] -> [适合拍工业风大片]; [铁路轮渡栈桥旧址] -> [适合拍孤独文艺范]; [长江玻璃栈桥] -> [新晋网红打卡点]
[古今同框] -> [震撼]; [长江大桥灯光] -> [太好看]
[下关] -> [南京版的外滩]; [轮渡] -> [一张2元的船票，可赏江景15分钟]
[南京西站] -> [记忆中的]; [朱自清背影] -> [文学历史感]
[长江大桥] -> [雄伟]; [江边路] -> [视野开阔]; [轮渡二层] -> [视野开阔]
[渡江纪念馆] -> [赏心悦目]; [破落建筑] -> [不见往日繁华]
[火车头和车厢] -> [普通]; [铁路运输栈桥遗址] -> [有历史感]
[下关火车主题公园] -> [出片]; [绿皮火车] -> [好看]
[大马路历史建筑] -> [很像上海外滩]; [浦口码头] -> [感觉自己穿越到了上个世纪的中国]
[下关火车主题公园] -> [适合拍摄日系和民国风格照片]
[轮渡] -> [普通区域景观足够欣赏]
[轮渡] -> [价格实惠]; [哥特式建筑] -> [有设计感]; [日落] -> [复古浪漫]
[南京长江大桥] -> [南京代表性地标]; [公交95路] -> [路线清晰]
[玻璃栈道] -> [美疯了]; [日落] -> [刚刚好能看到]
[灯塔+落日] -> [浪漫]; [江边轮渡+夕阳余晖] -> [浪漫]
[下关滨江商务区] -> [不可复制的区划特点]; [地铁5号线与9号线交汇] -> [片区中心]
[橘子海] -> [最美]; [玻璃栈道] -> [出片]
[滨江风光带] -> [堪比上海外滩]
[三层书墙+阳光] -> [几何感更强烈]; [渡轮+落日] -> [收获一江夕阳]
[江边] -> [路线清晰]; [咖啡店] -> [宁静]
[轮渡排队] -> [拥挤]; [民国建筑群] -> [有设计感]
[绿皮火车] -> [有历史感]; [主题公园整体] -> [协调/有设计感]
[中山码头附近] -> [位置便利]; [三层结构] -> [适合不同规模聚会]
[江豚] -> [兴趣/好奇]; [日落] -> [特别美]
[渡轮] -> [光影效果好]; [长廊] -> [很有美感]
[长江大桥夜景] -> [震撼]; [玻璃栈道] -> [有设计感]
[长江大桥] -> [硬核]; [长江大桥] -> [重要战略意义]
[橘子海] -> [浪漫]
[下关滨江] -> [有生态价值]
[渡轮] -> [出片效果好]; [日落时分] -> [能看到橘子海]
[江豚] -> [惊喜发现]; [民国风火车头] -> [有设计感]; [大片草坪] -> [适合野餐放风筝]
[南堡公园铁门紧闭] -> [路线不够清晰]; [玻璃栈道指示不足] -> [需要摊主指引]
[民国风建筑] -> [有设计感]; [轮渡] -> [路线清晰]
[浦口火车站] -> [有历史感]; [南京西站] -> [有故事]
[红墙黛瓦] -> [好看]; [古今同框] -> [协调]
[中山码头] -> [热门网红地]; [民国首都电厂旧址] -> [有百年历史]
[紫峰反光] -> [反光很绝]; [蓝天] -> [蓝调通透]
[浦口老火车站] -> [适合拍照]; [铁轨和站房] -> [出片、大片感]; [朱自清《背影》背景] -> [有文化内涵]
[江豚广场] -> [更绝美的视野和开阔]
[民国时期洋行建筑] -> [历史美感强]; [现状破败] -> [没落感]
[轮渡] -> [路线清晰]; [南京北站] -> [承载了很多回忆]
[玻璃栈道] -> [视野开阔]; [民国首都电厂旧址] -> [有历史感]; [茶南美食街] -> [灯火通明]
[江边日落] -> [最美]; [火车厢] -> [功能齐全]
[钢木混合桥] -> [有历史感]
[工业遗迹] -> [有历史感]; [陈旧老化的建筑] -> [怀旧氛围]
[江边] -> [路线清晰]
[玻璃栈道] -> [视野开阔]; [浦口火车站] -> [复古胶片感]
[地铁5号线] -> [便捷性]; [网红机位] -> [出片]
[江] -> [替代海的意象]
[夕Space落日餐厅] -> [超有氛围感]; [江边位置] -> [很出片]
[citywalk路线] -> [可以领取限定纪念品]; [citywalk路线] -> [可以品尝地道美食]
[湛蓝湖水] -> [有青岛的感觉]; [阶梯草坪] -> [童话氛围]; [金光禅寺] -> [曲径通幽]
[靠近江边] -> [视野好]; [靠近江边] -> [方便亲近水面]
[和平门车站] -> [承载城市记忆]; [南京站变迁] -> [体现时代变迁]
[民国首都电厂旧址公园] -> [适合拍照]; [工业风建筑] -> [杂志风]
[轮渡] -> [浪漫氛围]; [长江大桥夜景] -> [好看]
[玻璃栈桥] -> [太好看]; [夕阳+轮船+长江+火车+大桥] -> [浪漫]
[下关历史陈列馆; 下关火车主题公园; 铁路轮渡栈桥旧址] -> [有历史感]; [长江大桥] -> [开阔江景]
[指示牌] -> [路线清晰]
[轮渡] -> [性价比高]
[轮渡] -> [松弛]; [开阔江面] -> [出片]
[阅江广场] -> [陈旧]; [消费场景] -> [脱离年轻人喜好]
[民国古建筑遗址] -> [有历史感]; [海军医院旧址] -> [有文化底蕴]
[火车厢] -> [出片率高]; [票价低] -> [性价比高]
[玻璃栈道圆形结构] -> [出片]; [9mm广角视角] -> [果然不一样]
[浦口火车站] -> [有历史感]
[下关火车主题公园] -> [适合拍电影感照片]; [滨江路沙滩] -> [出片]
[轮渡汽笛] -> [有故事]; [梧桐影漫过石墙] -> [文艺]
[长江大桥] -> [路线清晰]; [夕阳] -> [很美]
[建筑仍在、街道尺度保留] -> [街道尺度清晰]; [仕绅化改造] -> [千篇一律]
[渡轮] -> [日系风格出片]; [浦口码头] -> [门可罗雀]
[长江] -> [开阔江景]; [南京长江大桥] -> [非常壮观]
[轮渡] -> [支付便捷]
[轮渡夕阳] -> [满眼夕阳]; [轮渡楼层差异] -> [不一样的感觉]
[落日] -> [氛围感超好]; [滨江骑行道] -> [适合骑行]
[网红灯塔] -> [好看/出片]; [滨江步道] -> [路线清晰]
[长江大桥] -> [惊艳]; [日落] -> [美不胜收]
[复古绿皮车厢] -> [复古质感]; [江景落日] -> [一绝]
[下关火车主题公园] -> [冷清]; [暖色调天空] -> [景色宜人]
[中山码头-浦口线路] -> [具有历史感]; [民国首都电厂] -> [历史文化氛围]
[夕Space落日餐厅] -> [最佳落日观赏位]; [火焰与圣诞树场景] -> [浪漫氛围]
[下关滨江地理位置] -> [交通枢纽]; [码头群] -> [国际性]
[下关客运站; 下关电厂; 火车西站] -> [成为了历史]
[轮渡二楼] -> [光线更明亮]; [靠窗位置] -> [出片效果好]; [南京老火车站] -> [有历史感的小公园]
[长江轮渡] -> [路线清晰]; [排队通道] -> [效率受时间影响]
[南京长江大桥] -> [历史沉淀]; [灯光璀璨] -> [雄伟壮观]
[下关] -> [天然良港]; [下关] -> [水陆交通要塞]
[玻璃栈道] -> [免费]; [桥头堡电梯] -> [方便到达观光平台]
[7-11] -> [促销信息明确]
[五马渡码头] -> [适合慢节奏吃喝玩乐]; [长江日落] -> [很棒的体验]
[阅江楼] -> [适宜登高望远]; [火车主题公园] -> [出片率高]; [玻璃栈道] -> [万万不敢走]
[玻璃栈道] -> [可以看到大桥]; [中山码头轮渡] -> [日落绝美]
[浦口火车站] -> [有历史感]; [老火车站] -> [安静]
[橘子味日落] -> [浪漫]; [玻璃栈道] -> [视野开阔]
[南京长江大桥] -> [浪漫; 自由; 温柔]
[玻璃栈道] -> [有景色]; [清末历史建筑] -> [有历史、有情怀]
[下关火车主题公园] -> [更容易出片]; [泥沙岸江浪] -> [海边的感觉]
[渡轮] -> [诗意般的场景设计]; [中山码头至浦口站] -> [清晰路线]
[浦口火车站] -> [承载老南京记忆]; [绿皮火车] -> [有文化底蕴]
[夜景] -> [太美了]; [玻璃栈道] -> [期待体验]; [大草坪] -> [适合休闲]
[玻璃栈道] -> [氛围感强]; [日落] -> [出片]
[轮渡] -> [价格便宜]; [公交16路] -> [换乘便捷但耗时]
[黄昏落日] -> [绝美]; [浦口火车站] -> [百年历史]
[夕Space落日餐厅] -> [有设计感]; [晚霞] -> [视野开阔]
[江豚宝宝] -> [可爱; 有趣]
[轮渡] -> [浪漫氛围]; [日落] -> [浪漫氛围]
[下关火车主题公园] -> [有历史感]; [火车主题设施] -> [有设计感]
[玻璃栈道] -> [夜景超棒]; [民国首都电厂旧址公园] -> [怀旧工业风]; [下关火车主题公园] -> [民国火车站布局]
[浦口火车站] -> [中国最文艺的火车站]; [中山停灵台] -> [庄重纪念氛围]
[浦口旧火车站; 中山码头等历史场所] -> [有历史感]
[玻璃栈道] -> [网红打卡地]; [回龙桥段] -> [安全且舒适]
[轮渡线路] -> [复古又温柔的浪漫]
[复古主楼] -> [新长江风景带的点睛之笔]; [轮渡服务] -> [单程时间短且价格合理]
[浦口火车站] -> [历史厚重感]; [斑驳的墙柱] -> [岁月沧桑感]
[下关火车主题园] -> [适合拍照]
[珠山茶艺馆] -> [古典韵味与现代气息完美融合]
[长江大桥] -> [飞架一桥通越堑]; [玉兰亮绽] -> [有设计感]
[中山码头] -> [民国首都电厂旧址公园]; [夕Space咖啡店] -> [完美观景台]; [江边日落] -> [最美]
[铁轨和绿皮车厢] -> [有历史感]; [长江大桥] -> [开阔江景]
[长江大桥] -> [震撼]; [治愈日落] -> [迷人]
[钟山风景区] -> [经典线路]; [老门东] -> [适合夜景]; [幕燕滨江风貌] -> [樱花季人气高]
[南京长江大桥] -> [奇迹]; [南京长江大桥] -> [智慧与勇气的象征]
[绿皮火车] -> [有历史感]; [火车车厢] -> [有空调很舒服]
[长江边] -> [浪漫]; [落日] -> [浪漫]
[轮渡] -> [视觉盛宴]; [火车站] -> [文学意象关联]
[长江大桥下的玻璃栈道] -> [可以拍到大桥与江面的广角图]; [S8号线长江大桥北站1B号口] -> [能拍到南京城市建筑与江景]
[中山码头-大桥公园一线] -> [路线清晰]; [热河路/中山北路] -> [文艺青年必打卡]
[四号码头] -> [承担上至重庆、下至上海的轮船客运任务]
[玻璃栈桥] -> [绝佳拍摄位置]; [长江大桥] -> [南京名片]
[骑行绿道] -> [功能完善]; [夕阳] -> [很美]
[玻璃栈道] -> [拍照打卡地]
[中山码头] -> [江波如海]; [傍晚光影] -> [美景]
[橘色黄昏] -> [浪漫且治愈]; [玻璃栈道] -> [视野开阔]; [民国遗址] -> [有历史感]
[蒸汽机火车头] -> [极爽]; [绿皮车] -> [可以进入车厢]
[南京西站] -> [有回忆]
[南堡公园] -> [公交可达性好]; [上元门站] -> [地铁+骑行可达]
[浦口火车站] -> [文艺风格]; [施工围挡] -> [未完全开放]
[复古街区] -> [出片]; [醒春活动] -> [丰富有趣]
[浦口火车站] -> [有发展空间]; [写生场景] -> [宁静氛围]
[浦口老火车站] -> [复古风情]; [江面] -> [有种海边的感觉]
[轮渡] -> [性价比高]; [靠窗位置] -> [出片]
[下关火车主题公园] -> [有设计感]; [火车] -> [复古民国的感觉]; [江边] -> [清新日系的感觉]
[蒸汽火车头、绿皮车厢] -> [承载童年记忆]; [铁路轮渡栈桥旧址] -> [孤独文艺范]; [大马路] -> [民国风大片]; [民国首都电厂旧址公园] -> [工业风大片]
[绿皮火车] -> [怀旧]; [橘子海] -> [浪漫]; [民国老建筑] -> [有历史感]
[浦云路大桥] -> [非常出片]; [月见草花海] -> [一i人必来]; [大草坪] -> [绝美治愈]
[芦苇地] -> [氛围感强]; [长江大桥背景] -> [大片效果]
[民国首都电厂旧址] -> [有历史感]
[中山码头] -> [浪漫]; [夕阳] -> [真的太太太美了]
[老式英式建筑] -> [文艺]; [中山停灵台] -> [有故事]
[浦口码头到中山码头] -> [经典线路]
[江豚观赏点] -> [有故事]; [下关火车主题公园] -> [有历史感]
[英式建筑] -> [有设计感]; [百年历史] -> [有历史感]
[日落] -> [非常好看]; [夜景] -> [很美]
[轮渡] -> [交通便利]; [滨江步道] -> [适合拍照]
[滨江大道绿道] -> [骑行顺畅]; [夕阳] -> [好看]
[长江轮渡] -> [价格低廉(2元)]
[长江大桥夜景] -> [超美出片]; [玻璃栈道] -> [超级有氛围感]
[复古绿皮车厢] -> [复古风格]; [江景] -> [无敌江景]; [民国服饰] -> [怀旧]
[江豚书屋] -> [舒适且有书香气息]; [江豚观赏地] -> [视野开阔]
[下关火车主题公园] -> [适合拍照]
[长江大桥] -> [规划得不错]; [鱼嘴公园] -> [景色也不错]
[YZ22B硬座车厢] -> [性价比高]; [YW22B硬卧车厢] -> [适合办宴会]; [复古火车] -> [有历史感]
[南京长江大桥] -> [好看]; [玻璃栈桥] -> [出片]
[橘子海般的晚霞] -> [出片率高]; [民国建筑风格] -> [历史厚重感]
[中山码头-浦口码头轮渡] -> [票价便宜]; [民国风建筑] -> [很好逛]; [玻璃栈桥] -> [漂亮]
[下关火车主题公园] -> [适合人像摄影]; [柔和的光线] -> [舒适]
[铁路轮渡] -> [美轮美奂]
[绿皮火车] -> [将人瞬间拉回童年时代]; [玻璃栈桥] -> [壮观的长江大桥]
[灯火辉煌] -> [迷人]; [大桥结构] -> [功能完善]
[浦口火车站大马路市集] -> [市集功能明确]
[梧桐项链] -> [出片]; [民国馆] -> [穿越感]; [秦淮河西线灯光秀] -> [震撼]
[大马路] -> [历史感]; [破败街道] -> [失望]
[停车场] -> [停车便宜且方便]; [火车展示] -> [小朋友反复观看]; [绿皮车厢] -> [出片有感觉]
[长江] -> [江景资源非常棒]; [力人学校] -> [教育配套完善]
[浦口火车站] -> [惊艳]; [历史风格建筑] -> [超出片]
[夕阳] -> [好看/出片]; [玻璃栈道] -> [视野开阔]
[民国首都电厂旧址公园] -> [原汁原味的工业风]; [南京大件装卸码头] -> [视野开阔]
[南京西站] -> [有历史感]; [老式火车车厢] -> [复古]
[梧桐树荫下的路] -> [无价之宝]; [百年洋楼] -> [精致建筑]
[首都电话局旧址] -> [有历史感]; [西方古典式建筑] -> [有设计感]
[渡轮] -> [提供遗失物品查询服务]
[民国建筑] -> [历史厚重感]; [保存完好的建筑] -> [有历史感]
[蒸汽火车头; 绿皮火车车厢] -> [出片率高]; [橘子色日落] -> [泰兰德既视感]
[轮渡中山码头] -> [距离合适且风景一绝]; [江上夕阳] -> [非常美丽]
[玻璃栈道] -> [怎么拍都好看]; [日落光影] -> [有氛围感]
[下关大街] -> [提升区域交通功能]
[夕Space落日餐厅] -> [环境太美了]; [滨江视野] -> [放空自己]
[老建筑] -> [有历史感]; [下关区域] -> [承载老南京历史记忆]
[下关火车主题公园] -> [浪漫]; [夕阳时分] -> [适合摄影]
[711江边店] -> [有种身处日韩街头的氛围感]; [观景平台] -> [欣赏到长江的美景和落日]
[南京长江大桥] -> [标志性建筑]; [玻璃栈道] -> [休闲散步功能]
[靠窗位置] -> [视野更好]; [三层甲板] -> [视野更好]
[下关火车主题公园] -> [适合拍照]; [橘子海日落] -> [好看/出片]
[南京电表厂文化创意园] -> [有设计感]; [老厂房改造] -> [协调/突兀]
[日落] -> [浪漫/出片]; [民国建筑] -> [有历史感]
[中山码头] -> [超级出片]; [轮渡位置] -> [需快速调整站位]
[江边] -> [不可错过]; [下关滨江带] -> [集艺术与人文]; [玻璃栈道] -> [地标感]
[滨江4km步行] -> [路线清晰]; [老下关旧址] -> [有历史感]; [天水一色的长江] -> [视野开阔]
[浦口火车站] -> [全国重点文物保护单位]; [米黄色外墙;红色大屋顶] -> [文艺;精致]
[长江微笑驿站] -> [江豚出现概率高]; [江豚主题邮局] -> [文创设计有吸引力]
[下关火车主题公园] -> [有机融合区域铁路元素]
[电梯停运] -> [无法方便上桥]; [步行距离较远] -> [可达性差]
[中山码头] -> [定位明确]; [渡轮服务] -> [票价便宜]
[鼓楼滨江] -> [交通便利]
[桥北浦口站] -> [百年沧桑]; [明发滨江新城和北外滩水城] -> [有野趣]
[7-11便利店] -> [方便]; [江边] -> [有氛围感]
[草鞋夹不断东移] -> [地理变迁]; [乾隆吟咏] -> [文化价值]
[玻璃栈道灯光] -> [非常好看]; [停车场] -> [路线清晰]
[长江大桥] -> [有视觉吸引力]
[长江大桥] -> [震撼; 有历史感]; [公交服务] -> [路线清晰]
[101明潮里] -> [有创意]; [阅江楼] -> [中式美学氛围拉满]
[江豚捕鱼] -> [具有观赏价值]
[南京浦口北站] -> [复古民国风格]; [南京浦口北站] -> [适合复古约拍]
[玻璃栈道] -> [最佳拍摄地]; [灯光] -> [出片]
[江景房] -> [轻奢感]; [樱花大道] -> [春日限定浪漫]
[轮渡] -> [便宜实用]; [江面] -> [视觉美感]
[滨江步道] -> [超适合运动]; [工业风观景台] -> [电影感氛围]; [百年历史建筑群] -> [复古滤镜]
[火车公园] -> [可进入]; [江上落日] -> [能出片]
[浦云路大桥] -> [浪漫]; [心形桥] -> [有设计感]
[江边步道] -> [骑行顺畅]; [落日景象] -> [好看/出片]
[30号船] -> [提供三层甲板服务]
[南京] -> [历史感]; [浦口火车站] -> [有故事]
[南京长江大桥] -> [有历史意义]; [武汉长江大桥] -> [有历史意义]
[阳台视野开阔] -> [适合安静度假]; [设施老旧] -> [中规中矩]
[火车头和车身] -> [可以各种凹造型拍照]; [火车餐厅] -> [价格还可以]
[梧桐隧道] -> [出片]; [佛顶宫光影] -> [15:00光影绝杀]
[夜景] -> [超美]
[橘色日落] -> [视觉美感强]; [开阔地] -> [宁静放松氛围]
[朱自清《背影》火车站] -> [太出片啦]; [轮渡] -> [性价比高]
[长江大桥] -> [有象征意义]
[火车头] -> [蛮有意思]; [民国建筑风貌] -> [非常不错]
[玻璃栈桥] -> [风景优美]; [长江大桥] -> [随手一拍都好看]
[民国海军医院旧址] -> [有历史感]; [瞭望楼] -> [有特征]; [健身步道] -> [布局清晰]
[落日] -> [温柔]; [火车头主题公园到映虹桥路线] -> [路线清晰]
[斑驳的铁轨] -> [有历史感]; [水泥站台] -> [怀旧]
[轮渡] -> [路线清晰]; [落日] -> [视觉美感]
[长江大桥] -> [路线清晰]
[沿江风景] -> [充满松弛感]; [有轨电车] -> [空调充足]
[南京长江沿线] -> [江豚观测地点]
[宁浦航线] -> [公交接驳便利]
[橘子海] -> [视觉美感强]; [轮渡服务] -> [票价低廉]
[梧桐大道] -> [美美出片]; [先锋书店] -> [文艺气息]
[民国海军医院旧址] -> [极具价值]; [法国梧桐大道] -> [掩映]
[下关火车主题公园] -> [有历史感]; [芦苇荡] -> [好看]; [江边日落] -> [适合拍摄]
[下关火车主题公园] -> [适合拍照]; [落日光线] -> [光线刚刚好]
[南京长江大桥] -> [可以直出的景色]
[老式站台、火车头以及废弃的轮渡旧址] -> [出片]; [轮渡] -> [路线清晰]
[浦口火车站] -> [有年代感]; [老式站台] -> [有味道]
[两元轮渡] -> [性价比高]; [民国建筑群] -> [有历史感]
[下关火车主题公园] -> [怀旧氛围]; [绿皮火车] -> [有设计感]
[铁路轮渡栈桥旧址] -> [美轮美奂]; [铁路轮渡栈桥旧址] -> [有历史感]
[南京长江大桥] -> [承载历史情怀]; [玻璃栈道] -> [值得一看]
[绣球花] -> [通透]; [晴天] -> [干净质感]
