行为活动_Behavior_Activities,行为活动_Behavior_Approach_Avoidance_Intent,行为活动_Behavior_Plan_Change,行为活动_Behavior_Activity_Evaluation
乘坐地铁; 换乘公交; 乘坐轮渡; 骑行电动车上船,是次不错的体验（表示认可）,否,整体体验良好，除交通不便外其他都满意
散步; 观景; 拍照; 看日落,推荐,否,拍照出片效果好
乘坐轮渡; 拍照打卡; 游览; 散步,推荐; 想常来,否,拍照打卡真的很绝
,,,
观景; 打卡,推荐,否,
散步; 交友; 社群互动,推荐更多人参与城市漫步,否,散步是一种有效的减压方式
拍照; 游览; 观看风景; 打卡; 乘坐轮渡; 参观历史遗迹,推荐; 下次还来; 可搭配其他景点打卡,否,拍照容易出片; 观景体验好
驾车前往; 参观游览; 阅读历史; 拍照记录; 徒步行走,推荐; 想常来,否,阅读历史后感到值得前来
散步; 步行; 拍照; 观景,不会再来/不推荐步行方式,否,拍照体验好但路程较远且不便
散步; 回忆; 观察; 游览,不会再来新改造区域,否,通过漫步缓解不开心
散步; 拍照; 观景; 打卡; 游览; 等待江豚出现; 城市漫步,推荐; 绝对不能错过,否,边走边拍很出片
拍照; 散步; 打卡; 品尝小吃; 观景,推荐; 下次还来,否,拍照体验满意，出片率高
攀爬; 拍照; 探索,推荐; 想再来,否,虽然累但很好玩
乘坐轮渡; 散步; 拍照; 观景; 游览历史遗迹,推荐; 想常来,否,拍照体验很好; 步行路线舒适
拍照,推荐; 想再来,否,找到好机位，拍摄满意
散步; Citywalk; 拍照; 观景; 乘坐轮渡; 参观展览; 遛娃; 下午茶; 购物; 观江豚,推荐,否,轻松又惬意; 很舒服; 安全感满满; 高颜值的设计真是爱了
看日落,无法判断,无法判断,无法判断
拍照; 自拍; 后期修图; 散步,推荐/下次还来,否,拍照体验满意，认为出片效果很好
乘坐轮渡; 游览; 拍照; 就餐; 散步; 观看夜景; 购物,推荐该线路,否,玩得不错; 线路设计合理
观景; 散步,推荐; 下次还来,否,游览体验满意
询问信息,,,
摄影; 散步; 观景,推荐/想再来,是（疫情期间限制进入火车内部）,摄影体验良好但受疫情影响受限
,,否,
散步; City Walk; 乘坐轮渡; 拍照; 观景; 餐饮消费; 观看江豚; 亲子活动,推荐; 打算再来,否,轮渡上看风景拍照体验好; 民国装拍照出片
游览地标; 用餐; 购物; 拍照; 乘坐轮渡,下次还来,否,对部分美食和服务表示满意
摄影; 参观,推荐（带小架子）,否,对摄影效果有特定要求
骑行; 拍照; 就餐; 乘坐轮渡,推荐; 想常来,否,骑行体验好; 拍照效果佳
乘坐轮渡; 观景; 游览老浦口火车站,推荐体验轮渡和浦口线路,否,乘坐轮渡是一种值得尝试的体验，尤其是观赏落日
参观游览,推荐,否,
,,,
休闲; 遛娃,推荐为休闲遛娃好地方,否,休闲遛娃体验良好
参观游览; 拍照打卡; 购物消费; 阅读休闲; 观看展览,推荐参观; 想常来,否,提供多元化文化体验
游览; 拍照; 观看展览; 驾车出行,推荐（通过轮渡前往）,否,享受阳光的洗礼; 拍照体验良好
遛娃; 观景; 拍照打卡; 散步,推荐; 下次还来,否,遛娃和看日落兼顾，体验良好
打卡; 闲逛; 遛娃; 休闲; 拍照; 看日落; 看书; 品茶; 聚会; 团建,推荐; 想常来,否,打卡、闲逛、拍照等活动体验很好
观光游览; 拍照打卡; 品尝美食,强烈重访意愿（“超爱南京，下次还来”）,否,整体体验满意（推荐给他人）
拍照; 游览,推荐,否,
购买; 获取赠品,想要获得赠品,无法判断,无法判断
游览; 拍照; 观看夜景; 查阅导览图,有兴趣前往; 期待未来开放,否,
游览; 参观历史建筑; 拍照; 文化体验; 购物,推荐; 下次还来,否,文化体验丰富; 游玩过程有情感共鸣
乘坐轮渡; 拍照; 散步,推荐/下次还来,否,轮渡三楼拍摄体验良好
徒步探索; 历史寻访; 瞻仰纪念; 拍照记录; 地图标注,主动寻找并记录,否,深刻的历史教育体验
徒步; 散步; 拍照; 观景; 骑行; 游玩游乐设施; 乘坐轮渡,推荐; 想常来,否,拍照很出片; 徒步很放松
散步; citywalk; 拍照; 观景; 亲子活动; 遛狗; 登高; 参观艺术区; 购物; 就餐; 游览景点,推荐; 想常来,否,周末citywalk好去处; 登顶路线无难度; 省时省力
观景; 看日落; 乘坐轮渡,推荐/想去,否,
散步; 乘坐轮渡; 观景,推荐/想再来,否,欣赏自然光影和城市慢生活
出游; 拍照,准备去/推荐,否,
拍照; 住宿; 享用下午茶; 欣赏落日; 健身; 游泳; 享用早餐,推荐; 下次还想来,否,拍照体验非常好; 住宿体验非常满意; 下午茶美滋滋
散步; 骑行; 拍照; 观景; 打卡; 亲子活动; 看夜景,推荐; 下次还来,否,适合下午和夜晚不同时间段游玩
,,否,
,,,
拍照; 游览; 旅行; 计划游览,推荐; 强烈建议不要错过,否,拍照体验很好
散步; 拍照; 观景; 打卡; 看日落,推荐; 下次还来,否,拍照很漂亮; 日落很美
拍照,推荐（隐含）,否,拍到了满意的照片效果
打卡; 参观; 拍照,推荐; 想常来,否,
拍照; 游览; 观景; 看日落,推荐; 下次还来,否,出片率极高; 增强出片效果
,,,
参观; 游览; 拍照,推荐; 下次还来,否,
散步; citywalk; 拍照; 观景; 亲子活动; 遛狗; 参观艺术园区; 登高; 就餐,推荐; 刷到就是赚到,否,省时省力的游玩方式很合适
乘坐地铁; 换乘公交; 自驾; 散步; 观景; 拍照; 乘坐轮渡,下次还来,否,认为拍照效果不错但因天气原因未达预期
乘坐轮渡; 拍照; 观看日落; 互拍,推荐; 下次还来,否,拥有心灵平静的感觉
观赏江豚; 拍照/录像,推荐; 下次还来,否,观赏体验非常棒
观察; 比较,,否,
乘坐轮渡; 观景; 拍照,推荐; 下次还来,否,看到美丽的日落，感到很治愈
乘坐轮渡; 拍照; 游览; 观景,推荐,否,整体体验良好且性价比高
拍照; 摄影创作; 后期修图; 计划未来拍摄,推荐; 下次还来; 想常来,否,拍摄体验很好，模特表现力强，照片效果满意
散步; Citywalk; 拍照; 打卡; 品尝小吃; 购物; 观景; 参观书店,推荐; 想常来; 行动的宝子提前预留行程,否,路线顺畅; 很好拍; 很好逛; 很出片
散步; 跑步; 骑行; 拍照; 观景; 打卡; 看日落,推荐; 下次还来,否,拍照很出片; 散步很舒服
摄影,计划再次拍摄,否,
观景; 观赏日落,隐含推荐（主动选择观看）,否,对观赏日落的体验感到满意
游览; 打卡; 拍照; 就餐; 购物; 观景,推荐; 下次还来,否,游玩时间远超预期，体验丰富有趣
拍照; 游览,推荐; 想常来,否,拍照很出片
打卡; 拍照; 游览; 许愿; 观赏风景,推荐; 下次还来,否,适合打卡; 出片效果好
乘坐轮渡; 散步; 拍照; 参观; 购物; 就餐; 阅读; 游览,推荐; 下次还来,否,拍照很好看; 散步很舒服; 游览很有收获
乘坐轮渡; 散步; city walk; 拍照; 观景; 骑行; 徒步; 露营; 野餐; 参观历史遗迹; 远眺城市景观,推荐; 下次还来,否,好惬意；拍照绝啦；很蓝
乘坐轮渡; 游览; 拍照; 就餐,下次还想来体验五马渡两小时轮渡观光,否,轮渡体验满意，餐饮体验良好
乘坐轮渡; 观景; 拍照; 打卡; 游览,期待未来再来,否,轮渡体验令人印象深刻
观景; 打卡,推荐/想来体验,否,
拍照; 观景; 看日落; 亲子活动; 散步; 吃饭; 游玩,推荐; 下次还来,否,拍照很出片; 看日落太带感; 吃烤鱼很治愈
拍照; 观景; 散步; 打卡; 看落日,推荐; 下次还来,否,拍照很出片; 散步很舒服
乘坐轮渡; 观景; 拍照,推荐; 下次还来,否,觉得2元船票很值
观看日落; 摄影; 等待拍摄时机,推荐,否,拍照体验良好，手机相机均可出片
就餐; 拍照; 观景; 散步,推荐; 下次还来,否,食物很好吃；散步很舒服
乘坐轮渡; 拍照; 散步; 游览; 喝咖啡; 观景; 看夕阳,推荐; 下次还来,否,轮渡旅程独特且值得体验
观景; 看日落,推荐,否,
散步; 拍照; 观景; 打卡; 聊天; 参加活动,推荐; 下次还来,否,拍照很出片
健身锻炼,,,
散步; 拍照; 观景; 看日落; 游览,推荐; 想常来,否,拍照体验很好
,,,
乘坐轮渡; 观赏江景,无明显倾向（提供实用信息）,否,认为值得花钱购买顶楼观景票
乘坐轮渡; 观景; 拍照,推荐/可能再来,否,认为日落景观值得专门前往
乘坐轮渡,,否,
参观; 游览; 拍照; 休闲消费,感兴趣并前来参观（接近意愿）,否,对改造后的功能表示认可
阅读; 散步; 拍照; 观景; 用餐,推荐; 下次还来,否,读上一下午的书很惬意; 在绿皮火车内吃午餐很有情怀
摄影; 观景,推荐/会再来,否,拍摄成果满意
聚餐; 品尝美食; 社交聊天,推荐; 下次还来,否,聚餐体验很好，菜品出彩，环境舒适，非常适合家庭聚会
下午茶; 漫步; 观赏晚霞; 举行婚礼仪式; 参加活动(如音乐会); 社交聚会,推荐; 想常来,否,婚礼仪式很浪漫; 下午茶体验舒适; 漫步很放松
拍照; 游览; 散步; 观景; 休息,推荐；想常来,否,来几张照片，绝对超级文艺范
观景; 观察江豚,劝退（因天气原因）,是（因天气改变原计划）,
参观; 拍照,推荐（暗示）,否,遗憾未能拍到玻璃房全景
,,是（因施工需绕路）,
回忆往事; 参观历史遗址,推荐/想了解历史背景,否,
晒太阳; 观鸟; 观江豚; 摄影,推荐; 想常来,否,晒太阳很舒服; 观察自然很有趣
拍照; 观景; 看轮渡; 打水漂; 品尝小吃; 乘坐轮渡; 游览,推荐; 可以常来,否,拍照很出片; 感觉有旅行感
乘坐轮渡; 游览; 拍照; 散步,推荐; 想常来,否,拍照体验满意，对整体旅程感到享受
居住; 户外休闲; 草坪瑜伽; 晒太阳; 休息放松,强烈购买/入住意愿,否,居住体验优于传统高层住宅
,,,
参观; 观景; 听讲解; 拍照留念; 缅怀往事,推荐参观; 表达民族自豪感,否,获得深刻的历史教育和情感共鸣
散步; 观景; 拍照; 打卡; 乘坐轮渡,推荐,否,拍照体验好; 夜景不错
拍照; 观景,推荐/下次还来（隐含）,否,拍照体验很好
游览; 拍照,计划夜间再次访问,否,对白天拍摄效果不完全满意
散步; 观景,无法判断,否,感觉非常惬意
乘坐轮渡; 拍照; 排队; 观看日落,推荐（且赏且珍惜）,否,轮渡拍照体验满意但拥挤影响感受
,,,
购房咨询; 看房; 交通出行,有兴趣购买,否,
观赏落日; 拍照打卡; 散步/漫步,推荐/下次还来（从小众公园的赞美语气推断）,否,落日余晖体验很好
乘坐轮渡; 拍照; 观赏晚霞; 观看落日,推荐; 下次还来,否,互拍效果好; 观景体验佳
,,否,
观光游览; 拍照打卡; 骑行; 观景; 徒步; 看日落,推荐; 下次还来; 想常来,否,骑行超级惬意; 看日落很浪漫
拍照; 打卡; 游览,推荐; 下次还来,否,拍照很带感，创意拍摄满意
参观历史遗迹; 乘坐轮渡; 观赏江景; 散步; 观看长江大桥,推荐/下次还想来,否,感受到历史与自然的交融，感到震撼与惬意
乘坐小火车; 拍照; 亲子活动,推荐; 下次还来,否,小朋友特别喜欢小火车
跑步; 折返跑; 观景; 拍照打卡; 品尝美食,推荐,否,跑步体验良好; 美食丰富
乘坐轮渡; 观光游览,推荐; 想常来,否,感受自然、放松心情
乘坐轮渡; 拍照; 打卡; 观光; 远观长江大桥,推荐；计划再次来访,否,来一次还是比较值的
乘坐轮渡; 观光,推荐; 下次还来,否,体验很棒
游览; 参观; 拍照; 学习历史,推荐/想来参观,否,历史文化价值高
游览; 拍照; 观景; 夜间游览,推荐,否,夜景灯光是南京夜景的绝佳观赏点
看日落; 拍照,不推荐/不会再来,否,拍照体验满意但整体体验不佳
散步; 观景; 拍照; 打卡; 看展; 购买纪念品; 参观博物馆,推荐; 想常来,否,非常满意偶遇江豚的经历
乘坐轮渡; 拍照; 散步; 观景; 游览,推荐; 下次还来,否,2元就能看到落日的浪漫
拍照; 打卡; 观景; 看日落,推荐,否,拍风景打卡都很出片
乘坐轮渡; 参观游览; 探索历史遗迹,推荐,否,感受到民国记忆的历史价值
观景; 喝咖啡; 拍照,推荐; 下次还来,否,安静享受落日很放松
散步; 拍照; 观景; 打卡; 参加活动(如音乐节); 约会,推荐; 下次还来,否,音乐氛围很好; 散步很放松
发呆; 观景; 休闲; 独处,推荐; 想常来,否,治愈了上班时的疲惫
散步; 拍照; 观景; 发朋友圈,推荐/会再来/适合拍照打卡,否,拍照体验非常满意，'赛博朋克感直接拉满'
拍照; 游览,推荐（隐含）,否,拍摄体验良好
参加宴会; 户外社交; 观赏夕阳; 品尝西餐; 计划未来访问,想再次访问; 计划下午茶约会,否,整体服务不错; 餐饮丰盛; 环境惬意
,,,
参观; 拍照,未明确表达推荐或回避意愿,否,对拍照体验感兴趣但尚未形成具体评价
拍照; 摄影创作,推荐; 下次还来,否,拍照很出片
,,否,
自驾游; 吃饭; 拼桌社交; 乘坐渡轮; 观景; 观看江豚; 探索未知,推荐这种意外发现的探索体验,否,对未提前规划的探索感到满意
拍照; 看日落; 散步,推荐,否,适合拍港风写真、情侣散步和观看日落
散步; 观景; 拍照; 看江豚; 乘坐轮渡; 晒太阳,推荐; 下次还来,否,散步很放松; 拍照很惬意
散步; CityWalk; 拍照; 观景; 品尝美食; 购物; 参加市集,推荐; 下次还来; 想常来,否,CityWalk体验非常愉快，餐饮购物选择丰富
拍照; 观赏江景; 游览,推荐; 想常来,否,拍摄体验很好，模特表现出色
健步走; 跳绳; 打卡; 参与开幕式,积极参加,否,整体体验有趣且有挑战性
乘坐轮渡; 散步; 骑行; 拍照; 观景; 打卡; 野餐; 亲子活动; 约会; 阅读,推荐; 下次还来,否,避开了人群，深度打卡体验良好
散步; city walk; 观景; 拍照; 参观历史陈列馆; 乘坐轮渡,推荐有太阳的天气去,否,能充分感受历史厚重感和美丽风景
用餐; 观赏江景; 拍照打卡; 购买外带,推荐; 下次还来,否,菜品和景色都令人满意
追忆往事,隐含接近意愿（,,
拍照; 观景; 探索,推荐/想再来,否,认为是优质摄影机位
观景; 拍照; 游览,推荐/下次还来,否,感受到时代变化的沉浸式体验
拍照; 观景,推荐; 下次还来,否,拍照很出片
约会; 晚餐; 观赏落日,推荐; 想常来,否,
拍照; 散步; 观景; 打卡,推荐; 下次还来,否,照片效果满意
乘坐轮渡; 拍照; 游览; 阅读文学作品联想; 感受怀旧氛围,推荐; 想常来; 感受慢时光,否,渡江体验良好，适合休闲怀旧
乘坐轮渡; 打卡; 拍照; 游览; 阅读旧书地图; 参观老物件展示,推荐; 想常来,否,具有教育意义和情感共鸣的打卡体验
拍照; 观景; 散步; 打卡; 等待日落,推荐; 下次还来,否,拍照体验很好
参观游览; 拍照打卡; 观看展览; 追忆历史; 影视场景寻访,推荐; 下次还来,否,让人感受到那个年代的氛围; 是一个来南京不错的去处
参观游览; 拍照打卡; 乘坐轮渡; 品尝咖啡; 逛街购物; 阅读; 观展,推荐; 可再次游览,否,整体体验满意，表示值得再访
乘坐轮渡; 等待,不会推荐/不会再来,否,虽不满意寒冷体验但仍选择继续等待
,,,
参观; 学习; 了解历史,推荐参观,无法判断,具有教育意义且富有历史文化价值
散步; 拍照打卡; 观察猫咪; 遛狗; 跑步; 购物,推荐/想再来,否,整体体验舒适且富有生活气息
散步; 参观; 观景; 拍照; 购物; 就餐,推荐给想避开热门景点的人,否,可以驻足观看; 眺望长江和长江大桥很值得
游览; 拍照; 回忆分享,表达了实现愿望的满足感，隐含推荐或重访意愿,否,实现了期待已久的心愿
散步; 观景; 拍照; 参观展览; 喝咖啡; 休闲,推荐; 下次还来,否,休闲体验良好且兼具教育意义
拍照; 观景; 参观; 品尝小吃; 阅读学习; 打卡,推荐; 下次还来,否,拍照很出片；小吃物美价廉；小朋友学到了很多知识
散步; 拍照; 观景; 露营; 徒步; 乘坐轮渡; 参观景区; 春季踏青,推荐; 很推荐; 不推荐破败景区,否,拍照体验好; 徒步路线有趣; 景区体验良好
,,否,
拍照; 打卡; 游览,推荐; 下次还来,否,拍摄体验很好，细节丰富
观景; 拍照; 等待日落,推荐; 想常来,否,观景体验令人印象深刻
阅读历史资料; 参观历史遗址,无明确意图，但强调铭记历史,否,
乘坐轮渡; 拍照打卡; 游览; 散步,推荐; 建议天气好的时候去,否,船开过来时感到激动开心
游览; 参观历史建筑,推荐（秋季游览民国海军医院旧址）,否,对民国建筑的历史价值表示认可
参观; 游览,接近意愿（表达想去长江大桥）,无法判断,无法判断
拍照,,否,拍照很频繁但未能享受过程
排队等待,不会再来/劝退,是（因排队太长而放弃）,未能完成预期活动
观景; 发呆; 听自然声音,没有明确表达回避或接近意愿,否,观景体验带来放松但略带伤感
参观; 喝咖啡,推荐/想来体验,,
乘坐轮渡; 观景; 往返体验,推荐作为错峰出行选择,否,满足基本观光需求，但非深度体验
拍照; 乘坐轮渡; 观景; 看日落,推荐; 想常来,否,拍摄体验良好，成功捕捉日落场景
拍照; 散步; 骑行; 观日落,推荐,否,适合拍日落；步行可达性好但禁止骑行影响部分体验
,,,
亲子活动; 散步; 观景; 露营; 了解历史,推荐; 建议趁着周末或五一假期前往,否,非常适合亲子互动和休闲放松
,,否,
散步; 观景; 乘坐轮渡,推荐该路线,否,整体行程轻松愉快
乘坐轮渡; 游览历史遗迹; 城市交通出行,推荐/想体验,否,渡江过程便捷且具历史意义
拍照; 观景; 乘坐轮渡; 散步; 打卡,推荐,否,拍照很出片
逛街; 就餐; 家庭聚会,推荐,否,家庭聚餐体验很好
乘坐轮渡; 观景; 拍照; 夜游,推荐,否,
摄影,,否,
乘坐轮渡; 拍照; 观景; 看日落; 逛街; 购物,强烈推荐,否,拍照体验很好; 乘坐轮渡很有意思
乘坐轮渡; 拍照; 观赏日落; 散步,推荐; 下次还来,否,在江面上看到日落很幸福
参观游览; 拍照打卡; 品咖啡; 阅读; 购物; 散步; 观展; 住宿,推荐; 下次还来,否,是一次穿越时光的旅行; 感受独特文艺气息
拍照; 游览; 乘坐渡轮; 观看历史建筑; 散步; 欣赏火车; 穿复古服饰; 打卡,推荐; 下次还来; 想常来,否,拍照体验满意; 自己走走更有意思
散步; 观景; 放风筝; 看货船; 发呆,推荐; 想常来,否,整体体验非常惬意舒适
观景; 看日落,推荐/下次还来（隐含）,否,有美好的日落观赏体验
,,否,
散步; 观景; 回忆,怀念并想重访,否,回忆带来情感满足
,无法判断,无法判断,无法判断
散步; 拍照; 观景; 登山; 亲子活动; 遛狗; 看银杏; 喝咖啡; 参观动物园; 用餐,推荐; 下次还来,否,周末citywalk好去处; 登山省时省力
,,,
乘坐轮渡; 拍照,,否,对拍照效果不满意
,,,
乘坐轮渡; 观赏日落; 拍照打卡; 毕业旅行,推荐给他人（一定要和喜欢的人来一次南京）,否,很适合毕业旅行，能留下美好回忆
打卡; 参观,推荐; 想常来,否,
晒太阳; 散步; 观景; 冥想/沉思,推荐; 想常来,否,感受到从前的慢生活节奏
拍照; 观景; 打卡,推荐,否,拍照很出片
用餐; 拍照; 约会; 品尝饮品,推荐,否,菜品味道超赞；口感清爽
漫步; 观赏江景; 拍照,推荐（通过诗意描写和拍摄建议）,否,摄影体验满意，认为场景具有深刻意境
观景; 拍照; 看日落,推荐；替代鱼嘴的看夕阳地点,否,让心情沉溺在这一片橘子海
城市漫步; 拍照; 观景; 游览; 乘坐渡轮; 观看江豚; 散步; 发呆,推荐（趁还未太网红前来体验）,否,拍照体验好; 散步很惬意
,无明确意愿但有改进建议,否,
散步; 游览,,否,体验普通
乘坐轮渡; 观赏江豚; 摄影; 旅游观光,推荐南京春季旅行,否,轮渡是观察江豚的有效方式
摄影,推荐/想来,否,拍摄效果良好
拍照; 观看落日; 散步,推荐; 下次还来,否,拍出大片; 很适合浪漫约会
,,,
骑行; 拍照; 观景; 乘坐轮渡; 参观历史遗迹; 用餐,推荐行程,否,骑行体验良好，路线设计用心
拍照; 徒步; 探索,未明确表达回避或接近意愿,否,照片效果令人满意但过程较狼狈
散步; 游览; 拍照; 感受季节变化,推荐他人外出体验,否,生活虽然没有滤镜但值得记录
骑行; 观景; 拍照; 听歌; 亲子活动,推荐; 想常来,否,孩子一点都不怕; 拿出手机想记录美景
开车兜风; 摄影; 夜间散步; 打卡,推荐晚上来; 下次打卡罗森,否,对手机拍摄结果表示满意
驾车前往; 步行游览; 拍照打卡; 飞行无人机,推荐; 想常来,否,飞行无人机体验良好
,,,
摄影; 拍照,继续加油（会再来尝试）,否,自我感觉前期很好但后期发现废片多
拍照; 乘坐轮渡; 品尝小吃,推荐/下次还来（隐含于分享行为中）,否,拍照体验良好；小吃丰富且具特色
观景; 亲子活动; 拍照; 打卡; 乘坐轮渡,推荐; 下次还来,否,江豚观看很有趣；渡轮性价比高；文学打卡有意义
乘坐轮渡; 观景; 拍照; 徒步; 骑行; 下午茶; 放风筝; 休息; 观日落; 夜间游览,更推荐大家来; 推荐住宿,否,下午茶的最佳选择地；观江桥夜色很美
,,,
散步; 骑行; 拍照; 观景; 打卡; 野餐; 露营; 看日落; 参观博物馆; 读书; 用餐,推荐; 下次还来,否,拍照体验很好; 观景很治愈
看房; 购房决策; 了解楼盘详情,有兴趣购买并推荐,否,楼盘信息全面且吸引力强
散步; 观景; 乘坐轮渡; 观赏江豚; 亲子活动,推荐; 下次还来,否,对孩子来说是终身难忘的体验
摄影; 散步; 观景; 打卡; 骑行,推荐; 下次还来,否,晚霞时分拍照体验很好
拍照; 散步; 品尝小吃; 购买物品,想再去看看,否,拍照体验美好
拍照; 观景,推荐拍摄地点,否,拍摄体验良好
拍照; 游览; 散步,推荐,否,适合多种风格拍摄
拍照; 游览; 乘坐轮渡; 看日落; 打卡,推荐; 下次还来,否,拍摄年代感照片体验好; 轮渡看日落浪漫
看落日; 拍照,推荐,否,拍照体验好
乘坐轮渡; 散步; 拍照; 观景; 亲子活动; 就餐; 游览,推荐; 想与大家分享,否,小朋友比较喜欢
用餐; 观赏景色; 聚会; 预订节日晚餐,会再来; 推荐; 已经多次光顾并预订圣诞夜晚餐,否,对餐厅的多功能性、景观视野、服务多样性表示满意
游览; 拍照; 散步; 乘坐轮渡; 品尝美食,推荐/下次还想来,否,拍照体验满意; 美食体验令人惊喜
观赏江豚; 观看日落; 饮用饮品; 放松休息,推荐/下次还来,否,用夏日落日拯救打工疲惫
散步; 观景; 拍照; 看展; 乘坐轮渡; 观赏江豚; 亲子活动; 看日落,推荐；建议留一天时间,否,被治愈；非常浪漫；出片效果好
摄影; 观察; 等待,推荐（通过拍摄建议体现）,否,摄影体验满意，尽管耗时较长
乘坐轮渡; 观景; 看日落; 观赏江豚; 拍照; 游览浦口火车站; 回忆往事,推荐南京小众景点; 一座来了，就不想离开的城市,否,一张2元的船票，可赏江景15分钟
城市漫步; 观光游览; 拍照打卡; 餐饮消费; 购物消费; 观看表演; 乘坐交通工具,,否,
,,,
乘坐轮渡; 打卡; 品尝美食; 寻访历史遗迹,推荐/想再来,否,对大喜馄饨口感表示满意（'尊嘟好qia'）
步行; 拍照; 坐轮渡; 观景; 购物; 喝茶饮; 骑行; 发呆,推荐此小众路线,否,全程下来优哉游哉; 景色很出片; 不用长时间排队
散步; 观景; 购物; 逛集市; 拍照打卡,推荐; 不虚此行,否,买小文创和逛集市体验满意
散步; 拍照; 观景,推荐; 下次还来,否,拍照体验不错; 吹风惬意
拍照; 观赏江景; 吃东西; 扔石头; 亲子活动,推荐; 下次还来,否,拍照很出片; 孩子玩得很开心
城市漫步; 拍照; 观景; 游览; 乘坐渡轮,推荐; 想去体验,否,适合复古风格摄影; 小众但值得探索
摄影拍摄; 艺术创作,推荐/下次还来,否,对拍摄效果满意
乘坐轮渡; 欣赏江景,推荐,否,普通票价区域已足够欣赏江景
散步; 拍照; 观景; 用餐; 游览历史建筑; 乘坐轮渡; 参观陈列馆,推荐; 想常来,否,边品尝美食边眺望江景，nice；一路游览体验丰富
观光游览; 乘坐公交; 步行探索,推荐,否,
观景; 拍照; 散步; 乘坐地铁; 骑行,推荐; 会再来,否,拍照体验极佳，尤其是日落和蓝调时刻
散步; 观景; 拍照; 等待晚霞,推荐; 想常来,否,浪漫且值得等待
城市规划研究; 交通建设观察; 区域开发分析,无法判断,否,认为部分规划难以落实（如幕府创新区科创中心）
散步; 步行; 骑行; 拍照; 观景; 打卡,推荐; 想常来,否,步行体验让人感到舒适放松
观景; 打卡,推荐（通过类比表达肯定）,无法判断,无法判断
参观图书馆; 拍照; 散步; 观看风景; 乘坐渡轮; 品尝小吃; 购物; 观落日,推荐此路线；表示下次还想来,否,图书馆参观很震撼；渡轮体验物超所值；小吃很好吃
散步; 拍照; 喝咖啡,想常来,否,漫步很舒服、探寻咖啡香很有趣
游览历史遗迹; 乘坐轮渡; 观赏建筑; 规划出行时间,劝退（周末不推荐）; 想常来（建议工作日）,是（计划改到工作日再来）,轮渡性价比低，历史遗迹值得参观但需避开高峰
拍照; 游览; 交通出行,推荐/吸引游客,否,拍照和游览体验良好
聚餐; 品尝美食,推荐,否,对每道菜都表示满意
乘坐轮渡; 拍照; 观景; 游览; 等待,推荐选择等船欣赏景色,否,虽然船内闷热但阳光和景色不错
乘坐轮渡; 拍照; 观赏夕阳; 散步; 寻找江豚,推荐体验,否,光影效果很好; 散步很惬意
,,,
观景; 拍照; 散步,推荐; 下次还来,否,拍照体验很好
,,,
看日落,无法判断,无法判断,无法判断
拍照,欢迎来拍照,否,拍得真好看
观景,推荐/下次还来,否,感到非常值得
乘坐轮渡; 拍照,推荐; 下次还来,否,虽未看到理想日落仍觉得值得
观景; 亲子活动; 野餐; 放风筝,推荐,否,小朋友玩得特别开心
游览; 步行; 观景; 问路; 寻找景点,未明确表示是否推荐，但有回避再次尝试之意,是（原计划参观南堡公园改为远观大桥）,虽然未能进入公园，但在附近远观大桥并找到玻璃栈道也算有所收获
拍照; 游览; 乘坐轮渡; 观赏江景,推荐前往拍摄,否,拍人像很容易出片
文学联想; 影视记忆追溯,,否,
参观古建筑; 拍照; 观景; 散步; Citywalk,推荐,否,感受金陵古城的另一番风光
参观; 拍照; 观看展览,推荐探索非热门景点,否,对建筑风格和历史展示感兴趣
摄影; 观景,下次还来,否,摄影体验满意
乘坐轮渡; 拍照; 游览,推荐; 下次还来,否,拍照体验非常好
观景; 看日落,推荐; 下次还来,否,拍照很出片; 观赏落日很开心
游览; 拍照; 打卡; 城市漫步,避雷/不会再来,否,
乘坐轮渡; 游览; 回忆,有兴趣再次探访（期待未来建设完成）,否,对街区改造表示认可，对未能进入站台略有遗憾
散步; 观景; 拍照; 打发时间; 看展; 乘坐轮渡; 观看江豚; 参观历史遗址; 喝咖啡; 品尝美食; 乘坐画舫; 夜游,推荐；下次还来,否,拍照很出片；美食满足幻想；画舫夜游体验好
观赏日落; 用餐; 阅读; 散步,推荐/下次还来,否,整体体验良好（将自然景观与文化体验结合）
运输货物,,,
散步; 观景; 遛狗; 发呆; 阅读; 拍照; 亲子活动,推荐; 下次还来,否,拍照很出片; 散步很放松
citywalk; 散步,推荐/感兴趣,否,
散步; 拍照; 观景; 看江豚; 追落日,推荐; 下次还来,否,拍照很出片; 散步很放松
乘坐地铁; 游览; 拍照; 餐饮消费; 购物; 阅读; 就医,期待开通后前往,是（计划因地铁开通而改变）,等地铁一开通就可以去逛吃
观景,接近意愿（邀请去看江）,无法判断,无法判断
用餐; 拍照,推荐意图明显,否,对食物品质和环境体验高度满意
citywalk; 领取纪念品; 品尝美食,推荐; 想常来,否,
拍照; 观景; 散步; 徒步; 亲子活动; 丛林探险; 皮划艇; 浆板; 越野摩托; 租车游览,推荐; 下次还来,否,拍照出片; 丛林探险适合小朋友; 越野摩托很酷
观景; 散步,推荐/下次还来,否,体验很好
,,无法判断,
建造; 改建; 更名; 重建,,,
拍照; 打卡,推荐/下次还来,否,拍摄效果满意
乘坐轮渡; 观看落日; 拍照; 徒步; 导航规划; 乘车游览,推荐轮渡体验但劝退导航系统,否,轮渡体验满意但导航失误带来不便
